Nested Sampling Global Log-Evidence           :   -0.398361657905408065E+06  +/-    0.448276367723745073E+00

Dim No.       Mean        Sigma
   1    0.842905534930126432E+00    0.000000000000000000E+00
   2    0.183563667902343788E+02    0.000000000000000000E+00
   3    0.100647294109892305E+01    0.000000000000000000E+00
   4   -0.119412916070573791E+00    0.000000000000000000E+00
   5    0.188386383259730422E+00    0.000000000000000000E+00
   6    0.690973796358932191E+00    0.000000000000000000E+00
   7    0.372197250492193277E+02    0.000000000000000000E+00
   8    0.131182890547714481E+01    0.000000000000000000E+00
   9    0.260803850819563099E+01    0.000000000000000000E+00
  10    0.383279114316916678E-01    0.000000000000000000E+00
  11    0.558976493853669265E-01    0.000000000000000000E+00
  12    0.138983319140117406E-04    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.842905534930126432E+00
   2    0.183563667902343788E+02
   3    0.100647294109892305E+01
   4   -0.119412916070573791E+00
   5    0.188386383259730422E+00
   6    0.690973796358932191E+00
   7    0.372197250492193277E+02
   8    0.131182890547714481E+01
   9    0.260803850819563099E+01
  10    0.383279114316916678E-01
  11    0.558976493853669265E-01
  12    0.138983319140117406E-04

MAP Parameters
Dim No.        Parameter
   1    0.842905534930126432E+00
   2    0.183563667902343788E+02
   3    0.100647294109892305E+01
   4   -0.119412916070573791E+00
   5    0.188386383259730422E+00
   6    0.690973796358932191E+00
   7    0.372197250492193277E+02
   8    0.131182890547714481E+01
   9    0.260803850819563099E+01
  10    0.383279114316916678E-01
  11    0.558976493853669265E-01
  12    0.138983319140117406E-04
