Nested Sampling Global Log-Evidence           :    0.119078361990878897E+06  +/-    0.111629587709536859E+01

Dim No.       Mean        Sigma
   1    0.750003601463495650E+00    0.510509954984872913E-05
   2    0.449992955565468762E+02    0.441497651182731277E-03
   3   -0.261644005180384721E-07    0.160979442923039745E-05
   4    0.110017383935880796E-05    0.162707033177434048E-05
   5    0.100000033563449353E+01    0.634831440572166266E-06
   6    0.749997639046496190E+00    0.781148518038219197E-05
   7    0.449991542158709592E+02    0.988873355618512424E-03
   8    0.500004070282815349E+00    0.123832437513840704E-04
   9    0.100000081178181977E+01    0.182879808966498507E-04
  10    0.104230318355705436E-05    0.104374492945124059E-05
  11    0.160537496058964004E-06    0.110477389114039554E-05
  12    0.999991804777279093E-03    0.277191984481510523E-07

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.750008483600736797E+00
   2    0.449997201398900089E+02
   3   -0.147279471279758972E-05
   4   -0.206480383469005074E-06
   5    0.100000126292791536E+01
   6    0.750006843300027315E+00
   7    0.449993641355823826E+02
   8    0.500017999791511181E+00
   9    0.100002679284069051E+01
  10   -0.675070845473294870E-07
  11   -0.857502264408078560E-06
  12    0.999951926879200570E-03

MAP Parameters
Dim No.        Parameter
   1    0.750008483600736797E+00
   2    0.449997201398900089E+02
   3   -0.147279471279758972E-05
   4   -0.206480383469005074E-06
   5    0.100000126292791536E+01
   6    0.750006843300027315E+00
   7    0.449993641355823826E+02
   8    0.500017999791511181E+00
   9    0.100002679284069051E+01
  10   -0.675070845473294870E-07
  11   -0.857502264408078560E-06
  12    0.999951926879200570E-03
