Nested Sampling Global Log-Evidence           :   -0.405610652737527954E+12  +/-    0.636737308078379669E+03

Dim No.       Mean        Sigma
   1    0.494966610302325916E+00    0.394247667650072383E-07
   2    0.937062276181035116E+02    0.233601545599286831E-05
   3    0.478980543049388086E+00    0.692944051241065379E-07
   4    0.315035604195416208E+00    0.487144918390438744E-07
   5    0.121345870176514103E+01    0.447034835815429688E-07
   6    0.882173324690679661E+00    0.774287048385535482E-07
   7    0.995285161049914393E+02    0.145046307920647795E-03
   8    0.809719456674012766E-01    0.501532555290917283E-08
   9    0.627847774157319849E+00    0.193141123605008733E-06
  10   -0.716538840404937316E+00    0.788495335300144767E-07
  11    0.357752534960732504E+00    0.252661480871039187E-07
  12    0.600677632669415710E-02    0.192525743140620493E-08

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.494966558534560619E+00
   2    0.937062243261682255E+02
   3    0.478980676761992741E+00
   4    0.315035519297323208E+00
   5    0.121345867852653910E+01
   6    0.882173234973301801E+00
   7    0.995282615633556702E+02
   8    0.809719384252901991E-01
   9    0.627847940976905994E+00
  10   -0.716538924669291033E+00
  11    0.357752496480780446E+00
  12    0.600677952419609567E-02

MAP Parameters
Dim No.        Parameter
   1    0.494966558534560619E+00
   2    0.937062243261682255E+02
   3    0.478980676761992741E+00
   4    0.315035519297323208E+00
   5    0.121345867852653910E+01
   6    0.882173234973301801E+00
   7    0.995282615633556702E+02
   8    0.809719384252901991E-01
   9    0.627847940976905994E+00
  10   -0.716538924669291033E+00
  11    0.357752496480780446E+00
  12    0.600677952419609567E-02
