Nested Sampling Global Log-Evidence           :   -0.300643021318481178E+11  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.504989707871946303E+00    0.120835003655222966E-05
   2    0.483584346037125279E+01    0.128092364730323478E-03
   3    0.290964242463863376E+00    0.121924602701729927E-05
   4   -0.778353976104735751E-01    0.143970240636329688E-05
   5    0.106724406183641030E+01    0.111430401181220519E-05
   6    0.494151658865674304E+00    0.295045343453493712E-05
   7    0.112310823730469522E+03    0.168382266979243578E-03
   8    0.110544415821192410E+01    0.857556324521897927E-05
   9    0.119190237002554000E+01    0.748443363232463459E-05
  10    0.663321918873193417E-01    0.137766188937955492E-05
  11   -0.278330809421625525E+00    0.851593540060609014E-06
  12    0.964572292326769691E-03    0.105256931094806289E-07

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.504990704393072809E+00
   2    0.483582807757428146E+01
   3    0.290962631851838849E+00
   4   -0.778371329804218304E-01
   5    0.106724352404279332E+01
   6    0.494151225398243410E+00
   7    0.112310887674901934E+03
   8    0.110544290427691916E+01
   9    0.119190491888590167E+01
  10    0.663322163909224743E-01
  11   -0.278331476521826549E+00
  12    0.964568702866261027E-03

MAP Parameters
Dim No.        Parameter
   1    0.504990704393072809E+00
   2    0.483582807757428146E+01
   3    0.290962631851838849E+00
   4   -0.778371329804218304E-01
   5    0.106724352404279332E+01
   6    0.494151225398243410E+00
   7    0.112310887674901934E+03
   8    0.110544290427691916E+01
   9    0.119190491888590167E+01
  10    0.663322163909224743E-01
  11   -0.278331476521826549E+00
  12    0.964568702866261027E-03
