Nested Sampling Global Log-Evidence           :   -0.387905366543364828E+06  +/-    0.108671601711744104E+01

Dim No.       Mean        Sigma
   1    0.750757495684277076E+00    0.000000000000000000E+00
   2    0.451768825320073688E+02    0.000000000000000000E+00
   3    0.586994121957036779E-03    0.000000000000000000E+00
   4    0.103769679372188606E-01    0.000000000000000000E+00
   5    0.100123076398617328E+01    0.000000000000000000E+00
   6    0.261371395452905178E+09    0.000000000000000000E+00
   7   -0.446581728487057794E+00    0.000000000000000000E+00
   8   -0.865466162811575290E+00    0.000000000000000000E+00
   9    0.750743816685035315E+00    0.000000000000000000E+00
  10    0.448984755200559391E+02    0.000000000000000000E+00
  11    0.499855065134065024E+00    0.000000000000000000E+00
  12    0.999122088441939060E+00    0.000000000000000000E+00
  13    0.227904551191404365E-02    0.000000000000000000E+00
  14    0.863317006518985602E-02    0.000000000000000000E+00
  15    0.100195385035649820E-02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.750757495684277076E+00
   2    0.451768825320073688E+02
   3    0.586994121957036779E-03
   4    0.103769679372188606E-01
   5    0.100123076398617328E+01
   6    0.261371395452905178E+09
   7   -0.446581728487057794E+00
   8   -0.865466162811575290E+00
   9    0.750743816685035315E+00
  10    0.448984755200559391E+02
  11    0.499855065134065024E+00
  12    0.999122088441939060E+00
  13    0.227904551191404365E-02
  14    0.863317006518985602E-02
  15    0.100195385035649820E-02

MAP Parameters
Dim No.        Parameter
   1    0.750757495684277076E+00
   2    0.451768825320073688E+02
   3    0.586994121957036779E-03
   4    0.103769679372188606E-01
   5    0.100123076398617328E+01
   6    0.261371395452905178E+09
   7   -0.446581728487057794E+00
   8   -0.865466162811575290E+00
   9    0.750743816685035315E+00
  10    0.448984755200559391E+02
  11    0.499855065134065024E+00
  12    0.999122088441939060E+00
  13    0.227904551191404365E-02
  14    0.863317006518985602E-02
  15    0.100195385035649820E-02
