Nested Sampling Global Log-Evidence           :   -0.840108487163318753E+09  +/-    0.209362746719961113E+01

Dim No.       Mean        Sigma
   1    0.838916212242032278E+00    0.210734242554470167E-06
   2    0.479706425593642081E+02    0.890677693456750231E-04
   3    0.115285295653323877E-01    0.163609465410393669E-06
   4    0.332994245539596709E-01    0.192730338218423421E-06
   5    0.100738352876026038E+01    0.516191365590356944E-07
   6    0.103458840804300427E+09    0.605214738749809385E+04
   7   -0.200486665038443895E+00    0.405621155829420776E-04
   8   -0.199089513147127684E+01    0.358727002894794928E-04
   9    0.803744510037431525E+00    0.113513208146891739E-05
  10    0.401023122182498284E+02    0.166461249860862107E-03
  11    0.567722647828627580E+00    0.195994175046174308E-06
  12    0.105903574576260784E+01    0.522816324020887434E-06
  13    0.250651333248254997E-01    0.164045009929678154E-06
  14    0.738220006583200083E-01    0.220613393074272098E-06
  15    0.826619198067419787E-03    0.380442840466315747E-09

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.838916530204239175E+00
   2    0.479705709198994086E+02
   3    0.115285095851193828E-01
   4    0.332991893446050527E-01
   5    0.100738355737091423E+01
   6    0.103457885656727329E+09
   7   -0.200522435789201148E+00
   8   -0.199087418620583345E+01
   9    0.803745083176255815E+00
  10    0.401026107437396817E+02
  11    0.567722868890883081E+00
  12    0.105903611151356691E+01
  13    0.250648493635897036E-01
  14    0.738220719188400903E-01
  15    0.826619421527910133E-03

MAP Parameters
Dim No.        Parameter
   1    0.838916530204239175E+00
   2    0.479705709198994086E+02
   3    0.115285095851193828E-01
   4    0.332991893446050527E-01
   5    0.100738355737091423E+01
   6    0.103457885656727329E+09
   7   -0.200522435789201148E+00
   8   -0.199087418620583345E+01
   9    0.803745083176255815E+00
  10    0.401026107437396817E+02
  11    0.567722868890883081E+00
  12    0.105903611151356691E+01
  13    0.250648493635897036E-01
  14    0.738220719188400903E-01
  15    0.826619421527910133E-03
