Nested Sampling Global Log-Evidence           :   -0.251063160275121307E+10  +/-    0.849088746957920359E+00

Dim No.       Mean        Sigma
   1    0.795274062069759813E+00    0.000000000000000000E+00
   2    0.873220211000990219E+02    0.000000000000000000E+00
   3   -0.493699883874660975E-01    0.000000000000000000E+00
   4   -0.335172975656127248E-01    0.000000000000000000E+00
   5    0.100657891803195954E+01    0.000000000000000000E+00
   6    0.258061562410792202E+09    0.000000000000000000E+00
   7   -0.471459246413087230E+00    0.000000000000000000E+00
   8    0.662708883946300564E+00    0.000000000000000000E+00
   9    0.853992403045484183E+00    0.000000000000000000E+00
  10    0.932998504479701154E+02    0.000000000000000000E+00
  11    0.770018349195145113E+00    0.000000000000000000E+00
  12    0.135221721044719811E+01    0.000000000000000000E+00
  13   -0.289927783410054811E-01    0.000000000000000000E+00
  14   -0.125366092107013216E-01    0.000000000000000000E+00
  15    0.573868482063302418E-03    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.795274062069759813E+00
   2    0.873220211000990219E+02
   3   -0.493699883874660975E-01
   4   -0.335172975656127248E-01
   5    0.100657891803195954E+01
   6    0.258061562410792202E+09
   7   -0.471459246413087230E+00
   8    0.662708883946300564E+00
   9    0.853992403045484183E+00
  10    0.932998504479701154E+02
  11    0.770018349195145113E+00
  12    0.135221721044719811E+01
  13   -0.289927783410054811E-01
  14   -0.125366092107013216E-01
  15    0.573868482063302418E-03

MAP Parameters
Dim No.        Parameter
   1    0.795274062069759813E+00
   2    0.873220211000990219E+02
   3   -0.493699883874660975E-01
   4   -0.335172975656127248E-01
   5    0.100657891803195954E+01
   6    0.258061562410792202E+09
   7   -0.471459246413087230E+00
   8    0.662708883946300564E+00
   9    0.853992403045484183E+00
  10    0.932998504479701154E+02
  11    0.770018349195145113E+00
  12    0.135221721044719811E+01
  13   -0.289927783410054811E-01
  14   -0.125366092107013216E-01
  15    0.573868482063302418E-03
