Nested Sampling Global Log-Evidence           :   -0.442571783042279363E+06  +/-    0.136461560445566588E+01

Dim No.       Mean        Sigma
   1    0.749882974507868116E+00    0.260555229716856184E-05
   2    0.451020333640174798E+02    0.149943110550309152E-03
   3   -0.372928659598054883E-02    0.579894674150172696E-06
   4   -0.181406787406926721E-02    0.924628645287260262E-06
   5    0.100201472122737267E+01    0.105735263077061124E-05
   6    0.257232832961057648E+08    0.464572886284003907E+06
   7   -0.255269642743633255E-02    0.601924221381366356E-03
   8    0.196057337687169975E+01    0.366878439629918750E-02
   9    0.750623105701567983E+00    0.307440965755195540E-05
  10    0.451012489175657265E+02    0.456046569501678120E-03
  11    0.497926387128981296E+00    0.402893202812957085E-05
  12    0.996873533697659964E+00    0.444418233039319334E-05
  13   -0.196705698993268315E-02    0.457633742307908941E-06
  14   -0.280424253987193294E-02    0.110146784544193276E-05
  15    0.100469060336708538E-02    0.616915398329111207E-08

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.749881946568273117E+00
   2    0.451020079580075119E+02
   3   -0.372934929504901503E-02
   4   -0.181394490300544565E-02
   5    0.100201530143490336E+01
   6    0.256659380629043132E+08
   7   -0.247120165224201660E-02
   8    0.196192597476565700E+01
   9    0.750622569671969275E+00
  10    0.451009171222744669E+02
  11    0.497923377822391766E+00
  12    0.996870086610399109E+00
  13   -0.196709367149978552E-02
  14   -0.280426180824556526E-02
  15    0.100469603776550689E-02

MAP Parameters
Dim No.        Parameter
   1    0.749881946568273117E+00
   2    0.451020079580075119E+02
   3   -0.372934929504901503E-02
   4   -0.181394490300544565E-02
   5    0.100201530143490336E+01
   6    0.256659380629043132E+08
   7   -0.247120165224201660E-02
   8    0.196192597476565700E+01
   9    0.750622569671969275E+00
  10    0.451009171222744669E+02
  11    0.497923377822391766E+00
  12    0.996870086610399109E+00
  13   -0.196709367149978552E-02
  14   -0.280426180824556526E-02
  15    0.100469603776550689E-02
