Nested Sampling Global Log-Evidence           :   -0.102006211682504642E+10  +/-    0.193472113832545478E+01

Dim No.       Mean        Sigma
   1    0.849174930877489964E+00    0.140181837396523196E-06
   2    0.377270978794310849E+02    0.175326999283830550E-03
   3   -0.544161576493582509E-02    0.257612590321534525E-05
   4    0.129004165119241954E+00    0.656037266006928755E-06
   5    0.993337620762953399E+00    0.948304091495115697E-07
   6    0.708722584238632107E+10    0.127561335373380291E+07
   7   -0.191894193194356943E+01    0.365342013432235941E-04
   8   -0.168022993596906277E-01    0.394680672094254933E-04
   9    0.771812767786224319E+00    0.616375144718481171E-06
  10    0.144169266642921144E+03    0.458065569190505343E-03
  11    0.522909851707823892E+00    0.309477244360309475E-05
  12    0.109510234651224780E+01    0.399481761793538284E-05
  13    0.333018003711709615E-01    0.259805198122672387E-06
  14    0.229213624648043311E-01    0.299007853388392051E-06
  15    0.904316568211758955E-03    0.846078435813305998E-09

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.849174864596254242E+00
   2    0.377272413174570787E+02
   3   -0.544445148295479801E-02
   4    0.129005038587993726E+00
   5    0.993337730633361837E+00
   6    0.708578079485578442E+10
   7   -0.191891929818054918E+01
   8   -0.167575733425855411E-01
   9    0.771812351869923585E+00
  10    0.144169855723847832E+03
  11    0.522907623122704890E+00
  12    0.109510741736214534E+01
  13    0.333016950744659812E-01
  14    0.229214733720984262E-01
  15    0.904316480207958853E-03

MAP Parameters
Dim No.        Parameter
   1    0.849174864596254242E+00
   2    0.377272413174570787E+02
   3   -0.544445148295479801E-02
   4    0.129005038587993726E+00
   5    0.993337730633361837E+00
   6    0.708578079485578442E+10
   7   -0.191891929818054918E+01
   8   -0.167575733425855411E-01
   9    0.771812351869923585E+00
  10    0.144169855723847832E+03
  11    0.522907623122704890E+00
  12    0.109510741736214534E+01
  13    0.333016950744659812E-01
  14    0.229214733720984262E-01
  15    0.904316480207958853E-03
