Nested Sampling Global Log-Evidence           :   -0.324459021478284523E+07  +/-    0.116873936438327086E+01

Dim No.       Mean        Sigma
   1    0.750407774079670409E+00    0.000000000000000000E+00
   2    0.453144497445821841E+02    0.000000000000000000E+00
   3    0.283311722902746359E-01    0.000000000000000000E+00
   4    0.336063054925850174E-01    0.000000000000000000E+00
   5    0.100102475146294689E+01    0.000000000000000000E+00
   6    0.613063352759987593E+09    0.000000000000000000E+00
   7   -0.100029696763346476E+01    0.000000000000000000E+00
   8   -0.142701138038678632E+01    0.000000000000000000E+00
   9    0.744806574090612683E+00    0.000000000000000000E+00
  10    0.450535433559540195E+02    0.000000000000000000E+00
  11    0.493570604057282480E+00    0.000000000000000000E+00
  12    0.988030014053518091E+00    0.000000000000000000E+00
  13    0.294609383195601898E-01    0.000000000000000000E+00
  14    0.324505112473473453E-01    0.000000000000000000E+00
  15    0.101644223564292986E-02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.750407774079670409E+00
   2    0.453144497445821841E+02
   3    0.283311722902746359E-01
   4    0.336063054925850174E-01
   5    0.100102475146294689E+01
   6    0.613063352759987593E+09
   7   -0.100029696763346476E+01
   8   -0.142701138038678632E+01
   9    0.744806574090612683E+00
  10    0.450535433559540195E+02
  11    0.493570604057282480E+00
  12    0.988030014053518091E+00
  13    0.294609383195601898E-01
  14    0.324505112473473453E-01
  15    0.101644223564292986E-02

MAP Parameters
Dim No.        Parameter
   1    0.750407774079670409E+00
   2    0.453144497445821841E+02
   3    0.283311722902746359E-01
   4    0.336063054925850174E-01
   5    0.100102475146294689E+01
   6    0.613063352759987593E+09
   7   -0.100029696763346476E+01
   8   -0.142701138038678632E+01
   9    0.744806574090612683E+00
  10    0.450535433559540195E+02
  11    0.493570604057282480E+00
  12    0.988030014053518091E+00
  13    0.294609383195601898E-01
  14    0.324505112473473453E-01
  15    0.101644223564292986E-02
