Nested Sampling Global Log-Evidence           :   -0.339304315756491852E+10  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.894947954224492248E+00    0.540257006594040975E-06
   2    0.375690261299235786E+02    0.319634585635313149E-03
   3   -0.538795304401698538E-01    0.419402899441221412E-06
   4    0.206028162427764686E-01    0.400698899603674463E-06
   5    0.980774629559789668E+00    0.912506037497214250E-07
   6    0.197873038729399610E+10    0.708789658795894124E+06
   7   -0.164119319031188660E+01    0.223662111020188669E-04
   8    0.656789230928273016E+00    0.542639677169628023E-04
   9    0.532391810709791691E+00    0.249133645466006236E-05
  10    0.595507962554326085E+02    0.151030219229348402E-03
  11    0.973934375234941530E+00    0.975317142467481056E-05
  12    0.146570132359621308E+01    0.344239400354449122E-05
  13    0.650689569720823979E-01    0.124834541823910933E-05
  14    0.108886710670477185E+00    0.153986802009545543E-06
  15    0.535121601847340141E-03    0.271935934861232739E-08

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.894947483752296380E+00
   2    0.375694074106650646E+02
   3   -0.538790632268294628E-01
   4    0.206032903552869490E-01
   5    0.980774607218910521E+00
   6    0.197795682206183982E+10
   7   -0.164117034179197141E+01
   8    0.656857928812158987E+00
   9    0.532394497938384115E+00
  10    0.595506002278372009E+02
  11    0.973946405777181834E+00
  12    0.146570307265239808E+01
  13    0.650700447744263222E-01
  14    0.108886733667587055E+00
  15    0.535121049791695345E-03

MAP Parameters
Dim No.        Parameter
   1    0.894947483752296380E+00
   2    0.375694074106650646E+02
   3   -0.538790632268294628E-01
   4    0.206032903552869490E-01
   5    0.980774607218910521E+00
   6    0.197795682206183982E+10
   7   -0.164117034179197141E+01
   8    0.656857928812158987E+00
   9    0.532394497938384115E+00
  10    0.595506002278372009E+02
  11    0.973946405777181834E+00
  12    0.146570307265239808E+01
  13    0.650700447744263222E-01
  14    0.108886733667587055E+00
  15    0.535121049791695345E-03
