Nested Sampling Global Log-Evidence           :   -0.375562149507766962E+07  +/-    0.938590273686560339E+00

Dim No.       Mean        Sigma
   1    0.751098042835651958E+00    0.000000000000000000E+00
   2    0.453309133622621729E+02    0.000000000000000000E+00
   3   -0.144765152298067298E-01    0.000000000000000000E+00
   4    0.985359815921129333E-02    0.000000000000000000E+00
   5    0.100138801907407116E+01    0.000000000000000000E+00
   6    0.270859112524311393E+08    0.000000000000000000E+00
   7   -0.101461224827686780E+01    0.000000000000000000E+00
   8    0.168753330454554096E+01    0.000000000000000000E+00
   9    0.746457075401423920E+00    0.000000000000000000E+00
  10    0.446128011677711527E+02    0.000000000000000000E+00
  11    0.502267436160374392E+00    0.000000000000000000E+00
  12    0.100138969550797308E+01    0.000000000000000000E+00
  13   -0.125252226160966033E-01    0.000000000000000000E+00
  14    0.967586527307976937E-02    0.000000000000000000E+00
  15    0.996682377153463228E-03    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.751098042835651958E+00
   2    0.453309133622621729E+02
   3   -0.144765152298067298E-01
   4    0.985359815921129333E-02
   5    0.100138801907407116E+01
   6    0.270859112524311393E+08
   7   -0.101461224827686780E+01
   8    0.168753330454554096E+01
   9    0.746457075401423920E+00
  10    0.446128011677711527E+02
  11    0.502267436160374392E+00
  12    0.100138969550797308E+01
  13   -0.125252226160966033E-01
  14    0.967586527307976937E-02
  15    0.996682377153463228E-03

MAP Parameters
Dim No.        Parameter
   1    0.751098042835651958E+00
   2    0.453309133622621729E+02
   3   -0.144765152298067298E-01
   4    0.985359815921129333E-02
   5    0.100138801907407116E+01
   6    0.270859112524311393E+08
   7   -0.101461224827686780E+01
   8    0.168753330454554096E+01
   9    0.746457075401423920E+00
  10    0.446128011677711527E+02
  11    0.502267436160374392E+00
  12    0.100138969550797308E+01
  13   -0.125252226160966033E-01
  14    0.967586527307976937E-02
  15    0.996682377153463228E-03
