Nested Sampling Global Log-Evidence           :   -0.281780914998141718E+10  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.633954558053331230E+00    0.174731603258230906E-06
   2    0.408250540418000298E+02    0.106624029994000902E-05
   3   -0.219248129471276698E-01    0.183079518686251126E-07
   4    0.554474733059167543E-01    0.753738640632417365E-08
   5    0.100416916613314755E+01    0.394247667650072383E-07
   6    0.823055025451352835E+09    0.434025385432695621E+05
   7    0.279774802588940330E+00    0.410931772981216793E-06
   8   -0.616994475544960230E+00    0.491068439741097985E-05
   9    0.696243288222499146E+00    0.172171294812729113E-06
  10    0.499156613550953381E+02    0.506436082738943234E-04
  11    0.532210041569551096E+00    0.520954910111824853E-06
  12    0.808815823050305194E+00    0.515761026736401944E-06
  13   -0.517889678978182555E-01    0.208250058582033013E-08
  14    0.327236992578435609E-01    0.147255028605851323E-08
  15    0.131748873494808797E-02    0.362047439692097502E-09

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.633954406305249685E+00
   2    0.408250546016194704E+02
   3   -0.219248286890557850E-01
   4    0.554474796643543780E-01
   5    0.100416920147160216E+01
   6    0.823017687772472858E+09
   7    0.279774452192317724E+00
   8   -0.616990250207155033E+00
   9    0.696243435426279200E+00
  10    0.499156177958849341E+02
  11    0.532210489605322468E+00
  12    0.808816266451035881E+00
  13   -0.517889660995972181E-01
  14    0.327236980487273441E-01
  15    0.131748842157874534E-02

MAP Parameters
Dim No.        Parameter
   1    0.633954406305249685E+00
   2    0.408250546016194704E+02
   3   -0.219248286890557850E-01
   4    0.554474796643543780E-01
   5    0.100416920147160216E+01
   6    0.823017687772472858E+09
   7    0.279774452192317724E+00
   8   -0.616990250207155033E+00
   9    0.696243435426279200E+00
  10    0.499156177958849341E+02
  11    0.532210489605322468E+00
  12    0.808816266451035881E+00
  13   -0.517889660995972181E-01
  14    0.327236980487273441E-01
  15    0.131748842157874534E-02
