Nested Sampling Global Log-Evidence           :   -0.308400380499703979E+10  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.865193765625329902E+00    0.460250532969251311E-06
   2    0.602788407869855476E+02    0.139673409613388156E-04
   3    0.120432953520936317E+00    0.325030244265033808E-07
   4   -0.930471293639572282E-02    0.922320912998209974E-07
   5    0.100880822280618321E+01                         NaN
   6    0.999999502951695251E+10    0.983186655727181801E+03
   7    0.501598011864104798E+00    0.219782024894902685E-05
   8   -0.100000026401058162E+01                         NaN
   9    0.651596391235658157E+00    0.974289836780877489E-07
  10    0.179862569865124755E+03    0.760790659911313296E-04
  11    0.131818715838423484E+01    0.112570358456707136E-05
  12    0.185689471483277746E+01    0.426183630409094422E-06
  13    0.282256459446520343E-01    0.962804682931645413E-08
  14    0.305299037313364850E-01    0.810277401616460066E-07
  15    0.256674764648497599E-03    0.732129112202459810E-10

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.865193896060802103E+00
   2    0.602788447445716500E+02
   3    0.120432962740316410E+00
   4   -0.930468680330829960E-02
   5    0.100880821596020942E+01
   6    0.999999474994450951E+10
   7    0.501598634557582024E+00
   8   -0.100000026131099773E+01
   9    0.651596418723900284E+00
  10    0.179862548244682159E+03
  11    0.131818747745002485E+01
  12    0.185689483593617588E+01
  13    0.282256432106227848E-01
  14    0.305298807725760402E-01
  15    0.256674743924427135E-03

MAP Parameters
Dim No.        Parameter
   1    0.865193896060802103E+00
   2    0.602788447445716500E+02
   3    0.120432962740316410E+00
   4   -0.930468680330829960E-02
   5    0.100880821596020942E+01
   6    0.999999474994450951E+10
   7    0.501598634557582024E+00
   8   -0.100000026131099773E+01
   9    0.651596418723900284E+00
  10    0.179862548244682159E+03
  11    0.131818747745002485E+01
  12    0.185689483593617588E+01
  13    0.282256432106227848E-01
  14    0.305298807725760402E-01
  15    0.256674743924427135E-03
