Nested Sampling Global Log-Evidence           :   -0.552869886737680054E+10  +/-    0.163583351832249679E+01

Dim No.       Mean        Sigma
   1    0.820642767813518859E+00    0.000000000000000000E+00
   2    0.451295537335350829E+02    0.674349576174304555E-06
   3    0.124459753903009229E+00    0.186264514923095703E-08
   4    0.235025052100316621E-01    0.329272253991359646E-09
   5    0.100500187876359526E+01    0.000000000000000000E+00
   6    0.434333387955114079E+10                         NaN
   7    0.807043929592811793E+00    0.000000000000000000E+00
   8    0.691900237649214822E+00    0.105367121277235087E-07
   9    0.661151575594130292E+00    0.745058059692382812E-08
  10    0.179993297889641553E+03    0.190734863281250000E-05
  11    0.829246511016726418E+00    0.105367121277235087E-07
  12    0.125144595795782410E+01    0.000000000000000000E+00
  13    0.730217607919016326E-01    0.131708901596543858E-08
  14   -0.304343018003594284E-01    0.000000000000000000E+00
  15    0.722819370178538843E-03    0.102897579372299889E-10

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.820642767813518859E+00
   2    0.451295537335350900E+02
   3    0.124459753903009243E+00
   4    0.235025052100316656E-01
   5    0.100500187876359526E+01
   6    0.434333387955114079E+10
   7    0.807043929592811793E+00
   8    0.691900237649214933E+00
   9    0.661151575594130403E+00
  10    0.179993297889641553E+03
  11    0.829246511016726529E+00
  12    0.125144595795782410E+01
  13    0.730217607919016465E-01
  14   -0.304343018003594284E-01
  15    0.722819370178538951E-03

MAP Parameters
Dim No.        Parameter
   1    0.820642767813518859E+00
   2    0.451295537335350900E+02
   3    0.124459753903009243E+00
   4    0.235025052100316656E-01
   5    0.100500187876359526E+01
   6    0.434333387955114079E+10
   7    0.807043929592811793E+00
   8    0.691900237649214933E+00
   9    0.661151575594130403E+00
  10    0.179993297889641553E+03
  11    0.829246511016726529E+00
  12    0.125144595795782410E+01
  13    0.730217607919016465E-01
  14   -0.304343018003594284E-01
  15    0.722819370178538951E-03
