Nested Sampling Global Log-Evidence           :   -0.923377260768866399E+06  +/-    0.128067086113299911E+01

Dim No.       Mean        Sigma
   1    0.752436624851262947E+00    0.223059980883171904E-05
   2    0.454849857198596723E+02    0.259088055892979410E-03
   3   -0.540321650332731187E-02    0.240798206530650620E-05
   4   -0.862615367944233845E-02    0.114428549025030298E-05
   5    0.100099425839661960E+01    0.513603923905315573E-06
   6    0.132801932000004482E+10    0.970770438511597808E+06
   7    0.682180967703119867E+00    0.374449847129990022E-03
   8    0.168320820397569682E+01    0.569638281121736157E-03
   9    0.747560979512867152E+00    0.401940696962100240E-05
  10    0.452252762979112077E+02    0.756256216524156533E-03
  11    0.501599472130401791E+00    0.579041944838926574E-05
  12    0.100072005339044923E+01    0.780613226441727282E-05
  13   -0.257530340407121066E-02    0.194491838438456226E-05
  14   -0.614200519705325985E-02    0.211848198177620563E-05
  15    0.998225131957097096E-03    0.120790363535527020E-07

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.752437725031867233E+00
   2    0.454848013601870420E+02
   3   -0.540421676131564496E-02
   4   -0.862525913786535078E-02
   5    0.100099436116959817E+01
   6    0.132732547962855005E+10
   7    0.682074855614801190E+00
   8    0.168311415437024792E+01
   9    0.747555652793792547E+00
  10    0.452251791385463093E+02
  11    0.501602539570199624E+00
  12    0.100071624021261285E+01
  13   -0.257703356885738422E-02
  14   -0.614198034026527603E-02
  15    0.998227281474514238E-03

MAP Parameters
Dim No.        Parameter
   1    0.752437725031867233E+00
   2    0.454848013601870420E+02
   3   -0.540421676131564496E-02
   4   -0.862525913786535078E-02
   5    0.100099436116959817E+01
   6    0.132732547962855005E+10
   7    0.682074855614801190E+00
   8    0.168311415437024792E+01
   9    0.747555652793792547E+00
  10    0.452251791385463093E+02
  11    0.501602539570199624E+00
  12    0.100071624021261285E+01
  13   -0.257703356885738422E-02
  14   -0.614198034026527603E-02
  15    0.998227281474514238E-03
