Nested Sampling Global Log-Evidence           :   -0.117582694469170094E+10  +/-    0.897748128705795234E+00

Dim No.       Mean        Sigma
   1    0.800282130572005368E+00    0.000000000000000000E+00
   2    0.598823409739756585E+02    0.000000000000000000E+00
   3    0.784628741807332636E-01    0.000000000000000000E+00
   4    0.114806108850226005E+00    0.000000000000000000E+00
   5    0.100319250775736246E+01    0.000000000000000000E+00
   6    0.867013599376362801E+09    0.000000000000000000E+00
   7    0.100509754363970583E+01    0.000000000000000000E+00
   8   -0.195436207426023190E+00    0.000000000000000000E+00
   9    0.799455565394129986E+00    0.000000000000000000E+00
  10    0.446631617133868346E+02    0.000000000000000000E+00
  11    0.473513606848707413E+00    0.000000000000000000E+00
  12    0.932653072825891938E+00    0.000000000000000000E+00
  13    0.555652068261570653E-01    0.000000000000000000E+00
  14    0.545821115970267987E-01    0.000000000000000000E+00
  15    0.103382833195033016E-02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.800282130572005368E+00
   2    0.598823409739756585E+02
   3    0.784628741807332636E-01
   4    0.114806108850226005E+00
   5    0.100319250775736246E+01
   6    0.867013599376362801E+09
   7    0.100509754363970583E+01
   8   -0.195436207426023190E+00
   9    0.799455565394129986E+00
  10    0.446631617133868346E+02
  11    0.473513606848707413E+00
  12    0.932653072825891938E+00
  13    0.555652068261570653E-01
  14    0.545821115970267987E-01
  15    0.103382833195033016E-02

MAP Parameters
Dim No.        Parameter
   1    0.800282130572005368E+00
   2    0.598823409739756585E+02
   3    0.784628741807332636E-01
   4    0.114806108850226005E+00
   5    0.100319250775736246E+01
   6    0.867013599376362801E+09
   7    0.100509754363970583E+01
   8   -0.195436207426023190E+00
   9    0.799455565394129986E+00
  10    0.446631617133868346E+02
  11    0.473513606848707413E+00
  12    0.932653072825891938E+00
  13    0.555652068261570653E-01
  14    0.545821115970267987E-01
  15    0.103382833195033016E-02
