Nested Sampling Global Log-Evidence           :   -0.932998676571413040E+09  +/-    0.156208682166777013E+01

Dim No.       Mean        Sigma
   1    0.827469872606459544E+00    0.149011611938476562E-07
   2    0.442211579088022262E+02    0.476837158203125000E-06
   3   -0.759391633036402836E-01    0.000000000000000000E+00
   4   -0.501909487378451591E-01    0.174234499538966516E-08
   5    0.100742490138958152E+01    0.210734242554470173E-07
   6    0.487132127139517218E+08    0.769090371802950017E+02
   7    0.111103407233639140E+01    0.241113497053714731E-05
   8   -0.199899525023160751E+01    0.117331860572275685E-06
   9    0.786598120583468674E+00    0.105367121277235087E-07
  10    0.471176859802009815E+02    0.269739830469721822E-05
  11    0.630119434774263354E+00    0.298023223876953125E-07
  12    0.110133612165826467E+01                         NaN
  13   -0.743619110048580195E-02    0.150666794571382748E-08
  14   -0.622724523489929932E-01    0.000000000000000000E+00
  15    0.881563702734000144E-03    0.178223835448674645E-10

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.827469872605833601E+00
   2    0.442211579091473581E+02
   3   -0.759391633033156821E-01
   4   -0.501909487393411013E-01
   5    0.100742490139014063E+01
   6    0.487132126494459286E+08
   7    0.111103407031393719E+01
   8   -0.199899525032834080E+01
   9    0.786598120586925686E+00
  10    0.471176859823605767E+02
  11    0.630119434750752050E+00
  12    0.110133612165270156E+01
  13   -0.743619109922421043E-02
  14   -0.622724523486627574E-01
  15    0.881563702728219395E-03

MAP Parameters
Dim No.        Parameter
   1    0.827469872605833601E+00
   2    0.442211579091473581E+02
   3   -0.759391633033156821E-01
   4   -0.501909487393411013E-01
   5    0.100742490139014063E+01
   6    0.487132126494459286E+08
   7    0.111103407031393719E+01
   8   -0.199899525032834080E+01
   9    0.786598120586925686E+00
  10    0.471176859823605767E+02
  11    0.630119434750752050E+00
  12    0.110133612165270156E+01
  13   -0.743619109922421043E-02
  14   -0.622724523486627574E-01
  15    0.881563702728219395E-03
