Nested Sampling Global Log-Evidence           :   -0.196854501513985977E+11  +/-    0.162356142189749897E+01

Dim No.       Mean        Sigma
   1    0.842050931534637614E+00    0.000000000000000000E+00
   2    0.444588406661323958E+02    0.000000000000000000E+00
   3    0.465615849225443704E-01    0.000000000000000000E+00
   4    0.150340498147039675E+00    0.000000000000000000E+00
   5    0.105388837768023702E+01    0.000000000000000000E+00
   6    0.145516797890024842E+07    0.000000000000000000E+00
   7    0.197380229478928060E+01    0.000000000000000000E+00
   8    0.777361285368820876E+00    0.000000000000000000E+00
   9    0.728562186977762316E+00    0.000000000000000000E+00
  10    0.607430394504138036E+02    0.000000000000000000E+00
  11    0.146657383902282135E+01    0.000000000000000000E+00
  12    0.170854186133153019E+01    0.000000000000000000E+00
  13    0.132378766327751529E+00    0.000000000000000000E+00
  14    0.540781307337576886E-01    0.000000000000000000E+00
  15    0.298742025783115450E-03    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.842050931534637614E+00
   2    0.444588406661323958E+02
   3    0.465615849225443704E-01
   4    0.150340498147039675E+00
   5    0.105388837768023702E+01
   6    0.145516797890024842E+07
   7    0.197380229478928060E+01
   8    0.777361285368820876E+00
   9    0.728562186977762316E+00
  10    0.607430394504138036E+02
  11    0.146657383902282135E+01
  12    0.170854186133153019E+01
  13    0.132378766327751529E+00
  14    0.540781307337576886E-01
  15    0.298742025783115450E-03

MAP Parameters
Dim No.        Parameter
   1    0.842050931534637614E+00
   2    0.444588406661323958E+02
   3    0.465615849225443704E-01
   4    0.150340498147039675E+00
   5    0.105388837768023702E+01
   6    0.145516797890024842E+07
   7    0.197380229478928060E+01
   8    0.777361285368820876E+00
   9    0.728562186977762316E+00
  10    0.607430394504138036E+02
  11    0.146657383902282135E+01
  12    0.170854186133153019E+01
  13    0.132378766327751529E+00
  14    0.540781307337576886E-01
  15    0.298742025783115450E-03
