Nested Sampling Global Log-Evidence           :   -0.465645643771211338E+10  +/-    0.148924210212000343E+02

Dim No.       Mean        Sigma
   1    0.751043933980577227E+00    0.235608045769362116E-07
   2    0.479073800612098708E+02    0.330362473977828444E-05
   3   -0.133999379630446828E-01    0.239532834843018744E-07
   4    0.947638131974726378E-01    0.149592556098559965E-07
   5    0.100062610737251867E+01    0.258095682795178472E-07
   6    0.739568938845529322E+00    0.333200093731252820E-07
   7    0.111408955145266503E+03    0.116800772799643424E-04
   8    0.500274387783959273E+00    0.210734242554470173E-07
   9    0.849508507145310454E+00                         NaN
  10    0.348911030316291990E-01    0.434339933706857993E-08
  11   -0.618251505424068180E-02    0.637739241346825728E-08
  12    0.122239806496540152E-02    0.563593253348869187E-10

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.751043939497163304E+00
   2    0.479073838599657620E+02
   3   -0.133999748213807918E-01
   4    0.947638106207752684E-01
   5    0.100062611900372178E+01
   6    0.739568928540587978E+00
   7    0.111408964902844360E+03
   8    0.500274398420413213E+00
   9    0.849508523922799630E+00
  10    0.348911078529418328E-01
  11   -0.618251753017779859E-02
  12    0.122239803940902203E-02

MAP Parameters
Dim No.        Parameter
   1    0.751043939497163304E+00
   2    0.479073838599657620E+02
   3   -0.133999748213807918E-01
   4    0.947638106207752684E-01
   5    0.100062611900372178E+01
   6    0.739568928540587978E+00
   7    0.111408964902844360E+03
   8    0.500274398420413213E+00
   9    0.849508523922799630E+00
  10    0.348911078529418328E-01
  11   -0.618251753017779859E-02
  12    0.122239803940902203E-02
