Nested Sampling Global Log-Evidence           :   -0.244503956928740768E+07  +/-    0.113408512701442921E+01

Dim No.       Mean        Sigma
   1    0.752820570006894285E+00    0.201986325549343199E-05
   2    0.450319032530510270E+02    0.191409586538578987E-03
   3    0.223148145457781116E-02    0.194275728886250842E-06
   4   -0.502084020987098208E-02    0.112713067651886917E-05
   5    0.100258773724071082E+01    0.159100864112843740E-06
   6    0.754343557802798603E+00    0.114893654145009723E-05
   7    0.458874052946569861E+02    0.500579551626231692E-03
   8    0.497620609370558631E+00    0.408043275077247492E-05
   9    0.100039864717261762E+01    0.844828821228846478E-05
  10    0.456697435267564879E-02    0.583859616572482542E-06
  11   -0.550128233199287647E-02    0.634613162766760295E-06
  12    0.999587568138061034E-03    0.106444151529197838E-07

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.752820069457200480E+00
   2    0.450320626386420457E+02
   3    0.223120313603050431E-02
   4   -0.502004434842032859E-02
   5    0.100258773785101818E+01
   6    0.754343974884836843E+00
   7    0.458874611655614615E+02
   8    0.497617998332383404E+00
   9    0.100039051088537700E+01
  10    0.456602402830707643E-02
  11   -0.550068209541264806E-02
  12    0.999597028486473669E-03

MAP Parameters
Dim No.        Parameter
   1    0.752820069457200480E+00
   2    0.450320626386420457E+02
   3    0.223120313603050431E-02
   4   -0.502004434842032859E-02
   5    0.100258773785101818E+01
   6    0.754343974884836843E+00
   7    0.458874611655614615E+02
   8    0.497617998332383404E+00
   9    0.100039051088537700E+01
  10    0.456602402830707643E-02
  11   -0.550068209541264806E-02
  12    0.999597028486473669E-03
