Nested Sampling Global Log-Evidence           :   -0.542266860902236891E+06  +/-    0.256810634242775060E+00

Dim No.       Mean        Sigma
   1    0.675338866843670643E-01    0.000000000000000000E+00
   2    0.454643825637426110E-02    0.000000000000000000E+00
   3    0.505406710771631129E+00    0.000000000000000000E+00
   4    0.693873230001329055E+00    0.000000000000000000E+00
   5    0.406401074711093528E+02    0.000000000000000000E+00
   6    0.559158282007320429E+00    0.000000000000000000E+00
   7    0.913804217400451479E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.675338866843670643E-01
   2    0.454643825637426110E-02
   3    0.505406710771631129E+00
   4    0.693873230001329055E+00
   5    0.406401074711093528E+02
   6    0.559158282007320429E+00
   7    0.913804217400451479E+00

MAP Parameters
Dim No.        Parameter
   1    0.675338866843670643E-01
   2    0.454643825637426110E-02
   3    0.505406710771631129E+00
   4    0.693873230001329055E+00
   5    0.406401074711093528E+02
   6    0.559158282007320429E+00
   7    0.913804217400451479E+00
