Nested Sampling Global Log-Evidence           :    0.343277653933110042E+07  +/-    0.102919298441216944E+01

Dim No.       Mean        Sigma
   1   -0.134571804198652847E-05    0.639679001232303812E-05
   2    0.686085569168215812E-05    0.553974014984365449E-05
   3    0.159999925855173473E+02    0.308952211435796056E-04
   4    0.999998660718781074E+00    0.193158080191460151E-04
   5    0.499992384734534001E+00    0.125785142690991655E-04
   6    0.299998193794196872E+02    0.184761197633773145E-02
   7    0.500016761456041294E+02    0.122161566630076424E-02
   8    0.499888690382890508E-01    0.817837627207802849E-05
   9    0.199994836941754073E+03    0.128316561380628358E-01
  10    0.499998567421548117E+02    0.174467111908163035E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.237485984966770194E-05
   2    0.814081260281817604E-05
   3    0.160000237121775335E+02
   4    0.100001502467169545E+01
   5    0.499987723665184070E+00
   6    0.300002577837021924E+02
   7    0.500015326432492060E+02
   8    0.499810079393903511E-01
   9    0.199989747702690778E+03
  10    0.500004980574417530E+02

MAP Parameters
Dim No.        Parameter
   1   -0.237485984966770194E-05
   2    0.814081260281817604E-05
   3    0.160000237121775335E+02
   4    0.100001502467169545E+01
   5    0.499987723665184070E+00
   6    0.300002577837021924E+02
   7    0.500015326432492060E+02
   8    0.499810079393903511E-01
   9    0.199989747702690778E+03
  10    0.500004980574417530E+02
