Nested Sampling Global Log-Evidence           :   -0.215951701859879961E+02  +/-    0.464706038114290010E+00

Dim No.       Mean        Sigma
   1    0.623082090076258255E+00    0.000000000000000000E+00
   2    0.166545794605090720E+03    0.000000000000000000E+00
   3    0.315075370405871658E+01    0.000000000000000000E+00
   4    0.202634336362686263E+01    0.000000000000000000E+00
   5    0.826936006529872120E-01    0.000000000000000000E+00
   6    0.180824492791996583E+00    0.000000000000000000E+00
   7    0.277926663303554730E-04    0.000000000000000000E+00
   8   -0.210469113536382618E+00    0.000000000000000000E+00
   9   -0.154365343204875605E+00    0.000000000000000000E+00
  10    0.137439748684964336E-03    0.000000000000000000E+00
  11    0.464909119326765730E+01    0.000000000000000000E+00
  12    0.158252069938312516E+02    0.000000000000000000E+00
  13    0.817530107665586647E+00    0.000000000000000000E+00
  14    0.119953158129431785E+03    0.000000000000000000E+00
  15    0.633576016089731908E+02    0.000000000000000000E+00
  16    0.144631295840433207E+02    0.000000000000000000E+00
  17    0.261249885487135514E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.623082090076258255E+00
   2    0.166545794605090720E+03
   3    0.315075370405871658E+01
   4    0.202634336362686263E+01
   5    0.826936006529872120E-01
   6    0.180824492791996583E+00
   7    0.277926663303554730E-04
   8   -0.210469113536382618E+00
   9   -0.154365343204875605E+00
  10    0.137439748684964336E-03
  11    0.464909119326765730E+01
  12    0.158252069938312516E+02
  13    0.817530107665586647E+00
  14    0.119953158129431785E+03
  15    0.633576016089731908E+02
  16    0.144631295840433207E+02
  17    0.261249885487135514E+00

MAP Parameters
Dim No.        Parameter
   1    0.623082090076258255E+00
   2    0.166545794605090720E+03
   3    0.315075370405871658E+01
   4    0.202634336362686263E+01
   5    0.826936006529872120E-01
   6    0.180824492791996583E+00
   7    0.277926663303554730E-04
   8   -0.210469113536382618E+00
   9   -0.154365343204875605E+00
  10    0.137439748684964336E-03
  11    0.464909119326765730E+01
  12    0.158252069938312516E+02
  13    0.817530107665586647E+00
  14    0.119953158129431785E+03
  15    0.633576016089731908E+02
  16    0.144631295840433207E+02
  17    0.261249885487135514E+00
