Nested Sampling Global Log-Evidence           :   -0.724998623684185295E+05  +/-    0.495935179090861988E+00

Dim No.       Mean        Sigma
   1    0.748726285966901939E+00    0.000000000000000000E+00
   2    0.442952897663267890E+02    0.000000000000000000E+00
   3    0.602437234115880786E-02    0.000000000000000000E+00
   4    0.495846897540331774E-02    0.000000000000000000E+00
   5    0.100334168493416698E+01    0.000000000000000000E+00
   6    0.203618076992197786E+03    0.000000000000000000E+00
   7    0.502126026292476837E+02    0.000000000000000000E+00
   8    0.408736445645033149E+07    0.000000000000000000E+00
   9   -0.169039523189786212E+01    0.000000000000000000E+00
  10   -0.194251626250734999E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.748726285966901939E+00
   2    0.442952897663267890E+02
   3    0.602437234115880786E-02
   4    0.495846897540331774E-02
   5    0.100334168493416698E+01
   6    0.203618076992197786E+03
   7    0.502126026292476837E+02
   8    0.408736445645033149E+07
   9   -0.169039523189786212E+01
  10   -0.194251626250734999E+00

MAP Parameters
Dim No.        Parameter
   1    0.748726285966901939E+00
   2    0.442952897663267890E+02
   3    0.602437234115880786E-02
   4    0.495846897540331774E-02
   5    0.100334168493416698E+01
   6    0.203618076992197786E+03
   7    0.502126026292476837E+02
   8    0.408736445645033149E+07
   9   -0.169039523189786212E+01
  10   -0.194251626250734999E+00
