Nested Sampling Global Log-Evidence           :   -0.433011027765443505E+05  +/-    0.785722421046851416E+00

Dim No.       Mean        Sigma
   1    0.749265023549578246E+00    0.807193254207598353E-04
   2    0.450543089780742605E+02    0.102345404345927822E-01
   3   -0.126747837673549853E-02    0.419281342008114767E-04
   4   -0.813780839992945485E-03    0.388492512369670556E-04
   5    0.100194416635049044E+01    0.261778924538513767E-04
   6    0.200433475559015818E+03    0.300172624422100978E-01
   7    0.499778979617061196E+02    0.211257512128158915E-01
   8    0.109680759559582084E+09    0.126672587005074620E+08
   9   -0.103320928331839323E+01    0.393622173250846100E-01
  10   -0.194067852032409216E+01    0.438027790101232634E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.749264904833254475E+00
   2    0.450501281814311554E+02
   3   -0.122135975357082465E-02
   4   -0.832362021538132833E-03
   5    0.100195686835577291E+01
   6    0.200416206291768333E+03
   7    0.500025165980103168E+02
   8    0.120571294407875508E+09
   9   -0.101478209965048261E+01
  10   -0.194828980697963994E+01

MAP Parameters
Dim No.        Parameter
   1    0.749264904833254475E+00
   2    0.450501281814311554E+02
   3   -0.122135975357082465E-02
   4   -0.832362021538132833E-03
   5    0.100195686835577291E+01
   6    0.200416206291768333E+03
   7    0.500025165980103168E+02
   8    0.120571294407875508E+09
   9   -0.101478209965048261E+01
  10   -0.194828980697963994E+01
