Nested Sampling Global Log-Evidence           :   -0.603970991680037789E+07  +/-    0.459294787537385674E+00

Dim No.       Mean        Sigma
   1    0.668480478179850790E+00    0.000000000000000000E+00
   2    0.577774238400320499E+02    0.000000000000000000E+00
   3   -0.106559427476596968E+00    0.000000000000000000E+00
   4    0.104344404692506762E+00    0.000000000000000000E+00
   5    0.100363858916563320E+01    0.000000000000000000E+00
   6    0.420340687514760614E+00    0.000000000000000000E+00
   7    0.745292894248684092E+02    0.000000000000000000E+00
   8    0.518065923061266753E+00    0.000000000000000000E+00
   9    0.719717254140235685E+00    0.000000000000000000E+00
  10   -0.663356490214915551E-01    0.000000000000000000E+00
  11   -0.957068941954128949E-01    0.000000000000000000E+00
  12    0.452595863728573350E-04    0.000000000000000000E+00
  13    0.410631646500968617E+00    0.000000000000000000E+00
  14    0.128000770984495116E+02    0.000000000000000000E+00
  15    0.463674590608057979E+01    0.000000000000000000E+00
  16    0.938530368857425912E-01    0.000000000000000000E+00
  17   -0.148789582999065331E-01    0.000000000000000000E+00
  18    0.573427105856271005E-01    0.000000000000000000E+00
  19    0.163631607942971655E+02    0.000000000000000000E+00
  20    0.473476318265962970E+01    0.000000000000000000E+00
  21    0.296459334328246712E+03    0.000000000000000000E+00
  22    0.795385527293284298E+02    0.000000000000000000E+00
  23    0.274133670822469950E+10    0.000000000000000000E+00
  24   -0.192610230847691688E+00    0.000000000000000000E+00
  25   -0.594332582992151748E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.668480478179850790E+00
   2    0.577774238400320499E+02
   3   -0.106559427476596968E+00
   4    0.104344404692506762E+00
   5    0.100363858916563320E+01
   6    0.420340687514760614E+00
   7    0.745292894248684092E+02
   8    0.518065923061266753E+00
   9    0.719717254140235685E+00
  10   -0.663356490214915551E-01
  11   -0.957068941954128949E-01
  12    0.452595863728573350E-04
  13    0.410631646500968617E+00
  14    0.128000770984495116E+02
  15    0.463674590608057979E+01
  16    0.938530368857425912E-01
  17   -0.148789582999065331E-01
  18    0.573427105856271005E-01
  19    0.163631607942971655E+02
  20    0.473476318265962970E+01
  21    0.296459334328246712E+03
  22    0.795385527293284298E+02
  23    0.274133670822469950E+10
  24   -0.192610230847691688E+00
  25   -0.594332582992151748E+00

MAP Parameters
Dim No.        Parameter
   1    0.668480478179850790E+00
   2    0.577774238400320499E+02
   3   -0.106559427476596968E+00
   4    0.104344404692506762E+00
   5    0.100363858916563320E+01
   6    0.420340687514760614E+00
   7    0.745292894248684092E+02
   8    0.518065923061266753E+00
   9    0.719717254140235685E+00
  10   -0.663356490214915551E-01
  11   -0.957068941954128949E-01
  12    0.452595863728573350E-04
  13    0.410631646500968617E+00
  14    0.128000770984495116E+02
  15    0.463674590608057979E+01
  16    0.938530368857425912E-01
  17   -0.148789582999065331E-01
  18    0.573427105856271005E-01
  19    0.163631607942971655E+02
  20    0.473476318265962970E+01
  21    0.296459334328246712E+03
  22    0.795385527293284298E+02
  23    0.274133670822469950E+10
  24   -0.192610230847691688E+00
  25   -0.594332582992151748E+00
