Nested Sampling Global Log-Evidence           :   -0.484366658411835413E+07  +/-    0.495935179089981748E+00

Dim No.       Mean        Sigma
   1    0.686213721763463735E+00    0.000000000000000000E+00
   2    0.537759033176215979E+02    0.000000000000000000E+00
   3    0.719952536715595115E-01    0.000000000000000000E+00
   4   -0.562434607785273280E-01    0.000000000000000000E+00
   5    0.996333654306421623E+00    0.000000000000000000E+00
   6    0.383350075879660579E+00    0.000000000000000000E+00
   7    0.162727384723748116E+03    0.000000000000000000E+00
   8    0.107102597283227752E+01    0.000000000000000000E+00
   9    0.959536558205951962E+00    0.000000000000000000E+00
  10   -0.462562754778738788E-01    0.000000000000000000E+00
  11   -0.409257153869736975E-01    0.000000000000000000E+00
  12    0.462842769733848734E-04    0.000000000000000000E+00
  13    0.525644309748563687E+00    0.000000000000000000E+00
  14    0.434938057671099401E+02    0.000000000000000000E+00
  15    0.446723178033562647E+02    0.000000000000000000E+00
  16    0.163042173720381288E-01    0.000000000000000000E+00
  17    0.104466454695211167E+00    0.000000000000000000E+00
  18   -0.108988948539900637E-01    0.000000000000000000E+00
  19    0.164547113681783763E+02    0.000000000000000000E+00
  20    0.481812392548458401E+01    0.000000000000000000E+00
  21    0.106540497323831048E+03    0.000000000000000000E+00
  22    0.674616301532769569E+02    0.000000000000000000E+00
  23    0.505338921610692120E+10    0.000000000000000000E+00
  24   -0.803860005082232099E+00    0.000000000000000000E+00
  25   -0.121984269811205781E+01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.686213721763463735E+00
   2    0.537759033176215979E+02
   3    0.719952536715595115E-01
   4   -0.562434607785273280E-01
   5    0.996333654306421623E+00
   6    0.383350075879660579E+00
   7    0.162727384723748116E+03
   8    0.107102597283227752E+01
   9    0.959536558205951962E+00
  10   -0.462562754778738788E-01
  11   -0.409257153869736975E-01
  12    0.462842769733848734E-04
  13    0.525644309748563687E+00
  14    0.434938057671099401E+02
  15    0.446723178033562647E+02
  16    0.163042173720381288E-01
  17    0.104466454695211167E+00
  18   -0.108988948539900637E-01
  19    0.164547113681783763E+02
  20    0.481812392548458401E+01
  21    0.106540497323831048E+03
  22    0.674616301532769569E+02
  23    0.505338921610692120E+10
  24   -0.803860005082232099E+00
  25   -0.121984269811205781E+01

MAP Parameters
Dim No.        Parameter
   1    0.686213721763463735E+00
   2    0.537759033176215979E+02
   3    0.719952536715595115E-01
   4   -0.562434607785273280E-01
   5    0.996333654306421623E+00
   6    0.383350075879660579E+00
   7    0.162727384723748116E+03
   8    0.107102597283227752E+01
   9    0.959536558205951962E+00
  10   -0.462562754778738788E-01
  11   -0.409257153869736975E-01
  12    0.462842769733848734E-04
  13    0.525644309748563687E+00
  14    0.434938057671099401E+02
  15    0.446723178033562647E+02
  16    0.163042173720381288E-01
  17    0.104466454695211167E+00
  18   -0.108988948539900637E-01
  19    0.164547113681783763E+02
  20    0.481812392548458401E+01
  21    0.106540497323831048E+03
  22    0.674616301532769569E+02
  23    0.505338921610692120E+10
  24   -0.803860005082232099E+00
  25   -0.121984269811205781E+01
