Nested Sampling Global Log-Evidence           :   -0.224965578973198781E+02  +/-    0.474305364689456943E+00

Dim No.       Mean        Sigma
   1    0.749331921125749867E+00    0.161894072325324184E+00
   2    0.599507665760486290E+02    0.185415602388188816E+02
   3   -0.470568018322446019E-01    0.694306523511943885E-01
   4   -0.344351192889133517E-01    0.130774099786187925E+00
   5    0.103381787018882365E+01    0.793980954709381792E-01
   6    0.695728106200447116E+00    0.249947715353281197E+00
   7    0.956781455915719619E+02    0.475410841295578805E+02
   8    0.132241949635570588E+01    0.486148607215336259E+00
   9    0.129451831507250326E+01    0.707832577437401689E+00
  10   -0.711769051622003213E-01    0.366570452484327874E-01
  11    0.543902527745276435E-01    0.157967731077931633E+00
  12    0.955347992506750261E-05    0.264017177234717999E-05
  13    0.165367509317200040E+00    0.233363854349763700E+00
  14    0.208051320729583722E+02    0.141196501584794820E+02
  15    0.611997625078771463E+02    0.225271371962102052E+02
  16    0.260106700266585111E+00    0.141394961936051056E+00
  17    0.830196061485365677E-01    0.426122669909027377E-01
  18    0.423278332844603256E-01    0.527464724109706004E-01
  19    0.166972459837934863E+02    0.492982622336745002E+00
  20    0.299401176863829699E+01    0.160787309646759802E+01
  21    0.200148976483022125E+03    0.698449916220033913E+02
  22    0.841783321799815099E+02    0.674690277296186114E+01
  23    0.200328475793445483E+08    0.126332382450162191E+08
  24   -0.368774514666199149E+00    0.179923305871147687E+00
  25    0.600209656899172828E+00    0.648634488758800115E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.714648470864803320E+00
   2    0.558268989217888034E+02
   3   -0.955131966366089095E-02
   4    0.573256649453253650E-01
   5    0.102026212250582216E+01
   6    0.350130017587568731E+00
   7    0.864976320894971025E+02
   8    0.944775385250267163E+00
   9    0.582677755968071365E+00
  10   -0.267629276001203828E-01
  11   -0.929045614372214432E-02
  12    0.120982483247880888E-04
  13    0.495393740865889831E+00
  14    0.259313850563095016E+02
  15    0.456803064066239841E+02
  16    0.602266061903559344E-01
  17    0.257553076590236220E-01
  18    0.305679308036839077E-01
  19    0.164390650674164469E+02
  20    0.513346866365631094E+01
  21    0.104118435970015497E+03
  22    0.909048579289070915E+02
  23    0.323401352429590076E+08
  24   -0.249895998823556953E+00
  25    0.534896883043625371E+00

MAP Parameters
Dim No.        Parameter
   1    0.714648470864803320E+00
   2    0.558268989217888034E+02
   3   -0.955131966366089095E-02
   4    0.573256649453253650E-01
   5    0.102026212250582216E+01
   6    0.350130017587568731E+00
   7    0.864976320894971025E+02
   8    0.944775385250267163E+00
   9    0.582677755968071365E+00
  10   -0.267629276001203828E-01
  11   -0.929045614372214432E-02
  12    0.120982483247880888E-04
  13    0.495393740865889831E+00
  14    0.259313850563095016E+02
  15    0.456803064066239841E+02
  16    0.602266061903559344E-01
  17    0.257553076590236220E-01
  18    0.305679308036839077E-01
  19    0.164390650674164469E+02
  20    0.513346866365631094E+01
  21    0.104118435970015497E+03
  22    0.909048579289070915E+02
  23    0.323401352429590076E+08
  24   -0.249895998823556953E+00
  25    0.534896883043625371E+00
