Nested Sampling Global Log-Evidence           :   -0.929910659021096118E+07  +/-    0.419465972241283791E+00

Dim No.       Mean        Sigma
   1    0.745565632682050339E+00    0.000000000000000000E+00
   2    0.475372410604910911E+02    0.000000000000000000E+00
   3    0.640079215661822493E-01    0.000000000000000000E+00
   4   -0.130006304028755047E-01    0.000000000000000000E+00
   5    0.101059732893604104E+01    0.000000000000000000E+00
   6    0.968976640853463467E+00    0.000000000000000000E+00
   7    0.106703414955580428E+03    0.000000000000000000E+00
   8    0.135994025643528182E+01    0.000000000000000000E+00
   9    0.401348953490010807E+01    0.000000000000000000E+00
  10   -0.107580057266937965E+00    0.000000000000000000E+00
  11   -0.111433710132051986E+00    0.000000000000000000E+00
  12    0.660787379698289036E-05    0.000000000000000000E+00
  13    0.687181810108996149E+00    0.000000000000000000E+00
  14    0.412346701859109785E+02    0.000000000000000000E+00
  15    0.542567821089895119E+02    0.000000000000000000E+00
  16    0.207844531089223156E+00    0.000000000000000000E+00
  17    0.202661201143607417E-01    0.000000000000000000E+00
  18    0.311337798189850815E-01    0.000000000000000000E+00
  19    0.165649642710077352E+02    0.000000000000000000E+00
  20    0.728397713373119871E+01    0.000000000000000000E+00
  21    0.294295234123398643E+03    0.000000000000000000E+00
  22    0.859350058589510439E+02    0.000000000000000000E+00
  23    0.147137051687482882E+10    0.000000000000000000E+00
  24   -0.229352535424316439E+00    0.000000000000000000E+00
  25    0.167667992496032037E+01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.745565632682050339E+00
   2    0.475372410604910911E+02
   3    0.640079215661822493E-01
   4   -0.130006304028755047E-01
   5    0.101059732893604104E+01
   6    0.968976640853463467E+00
   7    0.106703414955580428E+03
   8    0.135994025643528182E+01
   9    0.401348953490010807E+01
  10   -0.107580057266937965E+00
  11   -0.111433710132051986E+00
  12    0.660787379698289036E-05
  13    0.687181810108996149E+00
  14    0.412346701859109785E+02
  15    0.542567821089895119E+02
  16    0.207844531089223156E+00
  17    0.202661201143607417E-01
  18    0.311337798189850815E-01
  19    0.165649642710077352E+02
  20    0.728397713373119871E+01
  21    0.294295234123398643E+03
  22    0.859350058589510439E+02
  23    0.147137051687482882E+10
  24   -0.229352535424316439E+00
  25    0.167667992496032037E+01

MAP Parameters
Dim No.        Parameter
   1    0.745565632682050339E+00
   2    0.475372410604910911E+02
   3    0.640079215661822493E-01
   4   -0.130006304028755047E-01
   5    0.101059732893604104E+01
   6    0.968976640853463467E+00
   7    0.106703414955580428E+03
   8    0.135994025643528182E+01
   9    0.401348953490010807E+01
  10   -0.107580057266937965E+00
  11   -0.111433710132051986E+00
  12    0.660787379698289036E-05
  13    0.687181810108996149E+00
  14    0.412346701859109785E+02
  15    0.542567821089895119E+02
  16    0.207844531089223156E+00
  17    0.202661201143607417E-01
  18    0.311337798189850815E-01
  19    0.165649642710077352E+02
  20    0.728397713373119871E+01
  21    0.294295234123398643E+03
  22    0.859350058589510439E+02
  23    0.147137051687482882E+10
  24   -0.229352535424316439E+00
  25    0.167667992496032037E+01
