Nested Sampling Global Log-Evidence           :   -0.768346036140147876E+07  +/-    0.436980207628460293E+00

Dim No.       Mean        Sigma
   1    0.732168671970865548E+00    0.000000000000000000E+00
   2    0.595720236696059828E+02    0.000000000000000000E+00
   3   -0.159525088852292170E-01    0.000000000000000000E+00
   4   -0.628909097223839531E-01    0.000000000000000000E+00
   5    0.972379695350135798E+00    0.000000000000000000E+00
   6    0.507862536840077317E+00    0.000000000000000000E+00
   7    0.120813938237217783E+03    0.000000000000000000E+00
   8    0.150830689868954071E+01    0.000000000000000000E+00
   9    0.137236196952900746E+01    0.000000000000000000E+00
  10   -0.254895078686486719E-01    0.000000000000000000E+00
  11    0.972664444560138036E-01    0.000000000000000000E+00
  12    0.175058708254078192E-04    0.000000000000000000E+00
  13    0.494373494875525454E+00    0.000000000000000000E+00
  14    0.476448364200765653E+02    0.000000000000000000E+00
  15    0.352844556258061246E+02    0.000000000000000000E+00
  16    0.415230606250368339E+00    0.000000000000000000E+00
  17    0.408139416866451638E-01    0.000000000000000000E+00
  18    0.702580228387513807E-02    0.000000000000000000E+00
  19    0.167642868894589796E+02    0.000000000000000000E+00
  20    0.400335584112948961E+01    0.000000000000000000E+00
  21    0.297175393552012792E+03    0.000000000000000000E+00
  22    0.894330965935279778E+02    0.000000000000000000E+00
  23    0.901239013664046377E+08    0.000000000000000000E+00
  24   -0.183943069621059152E+01    0.000000000000000000E+00
  25   -0.804681465994659062E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.732168671970865548E+00
   2    0.595720236696059828E+02
   3   -0.159525088852292170E-01
   4   -0.628909097223839531E-01
   5    0.972379695350135798E+00
   6    0.507862536840077317E+00
   7    0.120813938237217783E+03
   8    0.150830689868954071E+01
   9    0.137236196952900746E+01
  10   -0.254895078686486719E-01
  11    0.972664444560138036E-01
  12    0.175058708254078192E-04
  13    0.494373494875525454E+00
  14    0.476448364200765653E+02
  15    0.352844556258061246E+02
  16    0.415230606250368339E+00
  17    0.408139416866451638E-01
  18    0.702580228387513807E-02
  19    0.167642868894589796E+02
  20    0.400335584112948961E+01
  21    0.297175393552012792E+03
  22    0.894330965935279778E+02
  23    0.901239013664046377E+08
  24   -0.183943069621059152E+01
  25   -0.804681465994659062E+00

MAP Parameters
Dim No.        Parameter
   1    0.732168671970865548E+00
   2    0.595720236696059828E+02
   3   -0.159525088852292170E-01
   4   -0.628909097223839531E-01
   5    0.972379695350135798E+00
   6    0.507862536840077317E+00
   7    0.120813938237217783E+03
   8    0.150830689868954071E+01
   9    0.137236196952900746E+01
  10   -0.254895078686486719E-01
  11    0.972664444560138036E-01
  12    0.175058708254078192E-04
  13    0.494373494875525454E+00
  14    0.476448364200765653E+02
  15    0.352844556258061246E+02
  16    0.415230606250368339E+00
  17    0.408139416866451638E-01
  18    0.702580228387513807E-02
  19    0.167642868894589796E+02
  20    0.400335584112948961E+01
  21    0.297175393552012792E+03
  22    0.894330965935279778E+02
  23    0.901239013664046377E+08
  24   -0.183943069621059152E+01
  25   -0.804681465994659062E+00
