Nested Sampling Global Log-Evidence           :   -0.296844737432884704E+07  +/-    0.562095811992059047E+00

Dim No.       Mean        Sigma
   1    0.844957695375382123E+00    0.000000000000000000E+00
   2    0.432844475284143257E+02    0.000000000000000000E+00
   3   -0.153436076135962905E-01    0.000000000000000000E+00
   4    0.108567605917623877E+00    0.000000000000000000E+00
   5    0.100376016520575617E+01    0.000000000000000000E+00
   6    0.523844645937824094E+00    0.000000000000000000E+00
   7    0.347407576399662972E+02    0.000000000000000000E+00
   8    0.117736094102570332E+01    0.000000000000000000E+00
   9    0.316474587025433873E+01    0.000000000000000000E+00
  10   -0.363501907072208896E-02    0.000000000000000000E+00
  11   -0.758019433258796949E-01    0.000000000000000000E+00
  12    0.553912826356611169E-05    0.000000000000000000E+00
  13    0.472555215690015795E+00    0.000000000000000000E+00
  14    0.168258393030695323E+02    0.000000000000000000E+00
  15    0.481319667369911599E+02    0.000000000000000000E+00
  16    0.908563425654131812E-01    0.000000000000000000E+00
  17   -0.961021555241538955E-02    0.000000000000000000E+00
  18    0.826279993705388155E-01    0.000000000000000000E+00
  19    0.162632458309957606E+02    0.000000000000000000E+00
  20    0.487109955226115598E+01    0.000000000000000000E+00
  21    0.297082084382664618E+03    0.000000000000000000E+00
  22    0.364127329736725898E+02    0.000000000000000000E+00
  23    0.147922306946821749E+09    0.000000000000000000E+00
  24   -0.154740590216613660E+01    0.000000000000000000E+00
  25   -0.147781600926677159E+01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.844957695375382123E+00
   2    0.432844475284143257E+02
   3   -0.153436076135962905E-01
   4    0.108567605917623877E+00
   5    0.100376016520575617E+01
   6    0.523844645937824094E+00
   7    0.347407576399662972E+02
   8    0.117736094102570332E+01
   9    0.316474587025433873E+01
  10   -0.363501907072208896E-02
  11   -0.758019433258796949E-01
  12    0.553912826356611169E-05
  13    0.472555215690015795E+00
  14    0.168258393030695323E+02
  15    0.481319667369911599E+02
  16    0.908563425654131812E-01
  17   -0.961021555241538955E-02
  18    0.826279993705388155E-01
  19    0.162632458309957606E+02
  20    0.487109955226115598E+01
  21    0.297082084382664618E+03
  22    0.364127329736725898E+02
  23    0.147922306946821749E+09
  24   -0.154740590216613660E+01
  25   -0.147781600926677159E+01

MAP Parameters
Dim No.        Parameter
   1    0.844957695375382123E+00
   2    0.432844475284143257E+02
   3   -0.153436076135962905E-01
   4    0.108567605917623877E+00
   5    0.100376016520575617E+01
   6    0.523844645937824094E+00
   7    0.347407576399662972E+02
   8    0.117736094102570332E+01
   9    0.316474587025433873E+01
  10   -0.363501907072208896E-02
  11   -0.758019433258796949E-01
  12    0.553912826356611169E-05
  13    0.472555215690015795E+00
  14    0.168258393030695323E+02
  15    0.481319667369911599E+02
  16    0.908563425654131812E-01
  17   -0.961021555241538955E-02
  18    0.826279993705388155E-01
  19    0.162632458309957606E+02
  20    0.487109955226115598E+01
  21    0.297082084382664618E+03
  22    0.364127329736725898E+02
  23    0.147922306946821749E+09
  24   -0.154740590216613660E+01
  25   -0.147781600926677159E+01
