Nested Sampling Global Log-Evidence           :   -0.303654198789785895E+07  +/-    0.548590650539190539E+00

Dim No.       Mean        Sigma
   1    0.766832357967738965E+00    0.000000000000000000E+00
   2    0.625768847956663876E+02    0.000000000000000000E+00
   3   -0.353105745092847298E-01    0.000000000000000000E+00
   4    0.657363015391196240E-03    0.000000000000000000E+00
   5    0.999316373473437825E+00    0.000000000000000000E+00
   6    0.301463249154893864E+00    0.000000000000000000E+00
   7    0.599052472500633897E+02    0.000000000000000000E+00
   8    0.374729227786791130E+00    0.000000000000000000E+00
   9    0.773962453306477283E+00    0.000000000000000000E+00
  10   -0.998374973156877510E-01    0.000000000000000000E+00
  11   -0.205523506110473451E-01    0.000000000000000000E+00
  12    0.594086494754564253E-04    0.000000000000000000E+00
  13    0.534207037769479198E+00    0.000000000000000000E+00
  14    0.286667141497609137E+02    0.000000000000000000E+00
  15    0.435722846986456958E+02    0.000000000000000000E+00
  16    0.264556638158976280E-01    0.000000000000000000E+00
  17    0.312686918229063528E-02    0.000000000000000000E+00
  18    0.173633871046773962E-01    0.000000000000000000E+00
  19    0.163549660013882203E+02    0.000000000000000000E+00
  20    0.605792169212910281E+01    0.000000000000000000E+00
  21    0.103413437106027615E+03    0.000000000000000000E+00
  22    0.784902445282994847E+02    0.000000000000000000E+00
  23    0.290344709569739044E+09    0.000000000000000000E+00
  24   -0.171577678912257170E+01    0.000000000000000000E+00
  25    0.552855493921048033E-01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.766832357967738965E+00
   2    0.625768847956663876E+02
   3   -0.353105745092847298E-01
   4    0.657363015391196240E-03
   5    0.999316373473437825E+00
   6    0.301463249154893864E+00
   7    0.599052472500633897E+02
   8    0.374729227786791130E+00
   9    0.773962453306477283E+00
  10   -0.998374973156877510E-01
  11   -0.205523506110473451E-01
  12    0.594086494754564253E-04
  13    0.534207037769479198E+00
  14    0.286667141497609137E+02
  15    0.435722846986456958E+02
  16    0.264556638158976280E-01
  17    0.312686918229063528E-02
  18    0.173633871046773962E-01
  19    0.163549660013882203E+02
  20    0.605792169212910281E+01
  21    0.103413437106027615E+03
  22    0.784902445282994847E+02
  23    0.290344709569739044E+09
  24   -0.171577678912257170E+01
  25    0.552855493921048033E-01

MAP Parameters
Dim No.        Parameter
   1    0.766832357967738965E+00
   2    0.625768847956663876E+02
   3   -0.353105745092847298E-01
   4    0.657363015391196240E-03
   5    0.999316373473437825E+00
   6    0.301463249154893864E+00
   7    0.599052472500633897E+02
   8    0.374729227786791130E+00
   9    0.773962453306477283E+00
  10   -0.998374973156877510E-01
  11   -0.205523506110473451E-01
  12    0.594086494754564253E-04
  13    0.534207037769479198E+00
  14    0.286667141497609137E+02
  15    0.435722846986456958E+02
  16    0.264556638158976280E-01
  17    0.312686918229063528E-02
  18    0.173633871046773962E-01
  19    0.163549660013882203E+02
  20    0.605792169212910281E+01
  21    0.103413437106027615E+03
  22    0.784902445282994847E+02
  23    0.290344709569739044E+09
  24   -0.171577678912257170E+01
  25    0.552855493921048033E-01
