Nested Sampling Global Log-Evidence           :   -0.185951701859880139E+02  +/-    0.431221175106093479E+00

Dim No.       Mean        Sigma
   1    0.681249286587554570E+00    0.000000000000000000E+00
   2    0.893430391226051057E+02    0.000000000000000000E+00
   3    0.290055563567879517E-01    0.000000000000000000E+00
   4    0.994026054527599040E-01    0.000000000000000000E+00
   5    0.107873383291876523E+01    0.000000000000000000E+00
   6    0.353780201907832159E+00    0.000000000000000000E+00
   7    0.127895498122547693E+03    0.000000000000000000E+00
   8    0.999023159532329785E+00    0.000000000000000000E+00
   9    0.272321442512623380E+01    0.000000000000000000E+00
  10    0.669395104424745646E-01    0.000000000000000000E+00
  11   -0.725363600578657342E-01    0.000000000000000000E+00
  12    0.268742833048826701E-04    0.000000000000000000E+00
  13    0.385186490083344601E-04    0.000000000000000000E+00
  14    0.690826704643059912E+02    0.000000000000000000E+00
  15    0.110360072383420672E+03    0.000000000000000000E+00
  16    0.862728095867650535E+00    0.000000000000000000E+00
  17    0.900528859872888610E-01    0.000000000000000000E+00
  18    0.113558582188918802E+00    0.000000000000000000E+00
  19    0.155287609967640137E+02    0.000000000000000000E+00
  20    0.593725661335123500E+00    0.000000000000000000E+00
  21    0.149270050646755891E+03    0.000000000000000000E+00
  22    0.598415336317955635E+02    0.000000000000000000E+00
  23    0.316359095271929836E+10    0.000000000000000000E+00
  24   -0.178817512188121808E+01    0.000000000000000000E+00
  25    0.112284439047312912E+01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.681249286587554570E+00
   2    0.893430391226051057E+02
   3    0.290055563567879517E-01
   4    0.994026054527599040E-01
   5    0.107873383291876523E+01
   6    0.353780201907832159E+00
   7    0.127895498122547693E+03
   8    0.999023159532329785E+00
   9    0.272321442512623380E+01
  10    0.669395104424745646E-01
  11   -0.725363600578657342E-01
  12    0.268742833048826701E-04
  13    0.385186490083344601E-04
  14    0.690826704643059912E+02
  15    0.110360072383420672E+03
  16    0.862728095867650535E+00
  17    0.900528859872888610E-01
  18    0.113558582188918802E+00
  19    0.155287609967640137E+02
  20    0.593725661335123500E+00
  21    0.149270050646755891E+03
  22    0.598415336317955635E+02
  23    0.316359095271929836E+10
  24   -0.178817512188121808E+01
  25    0.112284439047312912E+01

MAP Parameters
Dim No.        Parameter
   1    0.681249286587554570E+00
   2    0.893430391226051057E+02
   3    0.290055563567879517E-01
   4    0.994026054527599040E-01
   5    0.107873383291876523E+01
   6    0.353780201907832159E+00
   7    0.127895498122547693E+03
   8    0.999023159532329785E+00
   9    0.272321442512623380E+01
  10    0.669395104424745646E-01
  11   -0.725363600578657342E-01
  12    0.268742833048826701E-04
  13    0.385186490083344601E-04
  14    0.690826704643059912E+02
  15    0.110360072383420672E+03
  16    0.862728095867650535E+00
  17    0.900528859872888610E-01
  18    0.113558582188918802E+00
  19    0.155287609967640137E+02
  20    0.593725661335123500E+00
  21    0.149270050646755891E+03
  22    0.598415336317955635E+02
  23    0.316359095271929836E+10
  24   -0.178817512188121808E+01
  25    0.112284439047312912E+01
