Nested Sampling Global Log-Evidence           :   -0.230951701859879890E+02  +/-    0.480574345819541116E+00

Dim No.       Mean        Sigma
   1    0.345702036527555823E+00    0.000000000000000000E+00
   2    0.142380060816040611E+03    0.000000000000000000E+00
   3    0.125587935413476570E+00    0.000000000000000000E+00
   4   -0.299083643986329251E+00    0.000000000000000000E+00
   5    0.106668402655996841E+01    0.000000000000000000E+00
   6    0.703380271973183646E+00    0.000000000000000000E+00
   7    0.917564333680066966E+02    0.000000000000000000E+00
   8    0.249949010577945652E+01    0.000000000000000000E+00
   9    0.231391849554458506E+01    0.000000000000000000E+00
  10   -0.317361514046986426E+00    0.000000000000000000E+00
  11    0.182004708750082879E-01    0.000000000000000000E+00
  12    0.526029437848184146E-05    0.000000000000000000E+00
  13    0.223191695450486449E-03    0.000000000000000000E+00
  14    0.706551675651273143E+02    0.000000000000000000E+00
  15    0.336265976493838465E+02    0.000000000000000000E+00
  16    0.301721502894663540E+00    0.000000000000000000E+00
  17   -0.136347038989461378E+00    0.000000000000000000E+00
  18   -0.210827380190712094E+00    0.000000000000000000E+00
  19    0.157044758210381890E+02    0.000000000000000000E+00
  20    0.146123009594773889E+01    0.000000000000000000E+00
  21    0.970141647774285190E+02    0.000000000000000000E+00
  22    0.981546184869873599E+02    0.000000000000000000E+00
  23    0.432369349280382395E+08    0.000000000000000000E+00
  24    0.337453823036530765E+00    0.000000000000000000E+00
  25   -0.513844435332830862E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.345702036527555823E+00
   2    0.142380060816040611E+03
   3    0.125587935413476570E+00
   4   -0.299083643986329251E+00
   5    0.106668402655996841E+01
   6    0.703380271973183646E+00
   7    0.917564333680066966E+02
   8    0.249949010577945652E+01
   9    0.231391849554458506E+01
  10   -0.317361514046986426E+00
  11    0.182004708750082879E-01
  12    0.526029437848184146E-05
  13    0.223191695450486449E-03
  14    0.706551675651273143E+02
  15    0.336265976493838465E+02
  16    0.301721502894663540E+00
  17   -0.136347038989461378E+00
  18   -0.210827380190712094E+00
  19    0.157044758210381890E+02
  20    0.146123009594773889E+01
  21    0.970141647774285190E+02
  22    0.981546184869873599E+02
  23    0.432369349280382395E+08
  24    0.337453823036530765E+00
  25   -0.513844435332830862E+00

MAP Parameters
Dim No.        Parameter
   1    0.345702036527555823E+00
   2    0.142380060816040611E+03
   3    0.125587935413476570E+00
   4   -0.299083643986329251E+00
   5    0.106668402655996841E+01
   6    0.703380271973183646E+00
   7    0.917564333680066966E+02
   8    0.249949010577945652E+01
   9    0.231391849554458506E+01
  10   -0.317361514046986426E+00
  11    0.182004708750082879E-01
  12    0.526029437848184146E-05
  13    0.223191695450486449E-03
  14    0.706551675651273143E+02
  15    0.336265976493838465E+02
  16    0.301721502894663540E+00
  17   -0.136347038989461378E+00
  18   -0.210827380190712094E+00
  19    0.157044758210381890E+02
  20    0.146123009594773889E+01
  21    0.970141647774285190E+02
  22    0.981546184869873599E+02
  23    0.432369349280382395E+08
  24    0.337453823036530765E+00
  25   -0.513844435332830862E+00
