Nested Sampling Global Log-Evidence           :   -0.344684752200006088E+07  +/-    0.530048773094525916E+00

Dim No.       Mean        Sigma
   1    0.646129819454883458E+00    0.000000000000000000E+00
   2    0.479019136136781540E+02    0.000000000000000000E+00
   3    0.682013841997195641E-02    0.000000000000000000E+00
   4   -0.404810788750966655E-01    0.000000000000000000E+00
   5    0.100806423085875640E+01    0.000000000000000000E+00
   6    0.829833916194584909E+00    0.000000000000000000E+00
   7    0.258723070724760262E+01    0.000000000000000000E+00
   8    0.206654755585077332E+01    0.000000000000000000E+00
   9    0.192738416496261289E+01    0.000000000000000000E+00
  10   -0.165312651532137422E+00    0.000000000000000000E+00
  11    0.160256093851413761E+00    0.000000000000000000E+00
  12    0.516059297030575253E-05    0.000000000000000000E+00
  13    0.404540708804652649E+00    0.000000000000000000E+00
  14    0.233629049698243847E+02    0.000000000000000000E+00
  15    0.437689987209096998E+02    0.000000000000000000E+00
  16    0.228925213112270987E-01    0.000000000000000000E+00
  17    0.131965110924730337E-01    0.000000000000000000E+00
  18   -0.522329090186310352E-01    0.000000000000000000E+00
  19    0.160201664255444456E+02    0.000000000000000000E+00
  20    0.440106911941697820E+01    0.000000000000000000E+00
  21    0.195796379119255789E+03    0.000000000000000000E+00
  22    0.548818511840166394E+02    0.000000000000000000E+00
  23    0.706702135249595940E+08    0.000000000000000000E+00
  24    0.276126638199347962E+00    0.000000000000000000E+00
  25   -0.130788102786495553E+01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.646129819454883458E+00
   2    0.479019136136781540E+02
   3    0.682013841997195641E-02
   4   -0.404810788750966655E-01
   5    0.100806423085875640E+01
   6    0.829833916194584909E+00
   7    0.258723070724760262E+01
   8    0.206654755585077332E+01
   9    0.192738416496261289E+01
  10   -0.165312651532137422E+00
  11    0.160256093851413761E+00
  12    0.516059297030575253E-05
  13    0.404540708804652649E+00
  14    0.233629049698243847E+02
  15    0.437689987209096998E+02
  16    0.228925213112270987E-01
  17    0.131965110924730337E-01
  18   -0.522329090186310352E-01
  19    0.160201664255444456E+02
  20    0.440106911941697820E+01
  21    0.195796379119255789E+03
  22    0.548818511840166394E+02
  23    0.706702135249595940E+08
  24    0.276126638199347962E+00
  25   -0.130788102786495553E+01

MAP Parameters
Dim No.        Parameter
   1    0.646129819454883458E+00
   2    0.479019136136781540E+02
   3    0.682013841997195641E-02
   4   -0.404810788750966655E-01
   5    0.100806423085875640E+01
   6    0.829833916194584909E+00
   7    0.258723070724760262E+01
   8    0.206654755585077332E+01
   9    0.192738416496261289E+01
  10   -0.165312651532137422E+00
  11    0.160256093851413761E+00
  12    0.516059297030575253E-05
  13    0.404540708804652649E+00
  14    0.233629049698243847E+02
  15    0.437689987209096998E+02
  16    0.228925213112270987E-01
  17    0.131965110924730337E-01
  18   -0.522329090186310352E-01
  19    0.160201664255444456E+02
  20    0.440106911941697820E+01
  21    0.195796379119255789E+03
  22    0.548818511840166394E+02
  23    0.706702135249595940E+08
  24    0.276126638199347962E+00
  25   -0.130788102786495553E+01
