Nested Sampling Global Log-Evidence           :   -0.510236952196446247E+07  +/-    0.490868314172968612E+00

Dim No.       Mean        Sigma
   1    0.710453055470624983E+00    0.000000000000000000E+00
   2    0.782761425454529274E+02    0.000000000000000000E+00
   3    0.886025589165455735E-01    0.000000000000000000E+00
   4    0.306603660133160892E-01    0.000000000000000000E+00
   5    0.967914189434930572E+00    0.000000000000000000E+00
   6    0.440468170053752828E+00    0.000000000000000000E+00
   7    0.146976435750602491E+03    0.000000000000000000E+00
   8    0.159742543994180308E+01    0.000000000000000000E+00
   9    0.227524332657824857E+01    0.000000000000000000E+00
  10   -0.150425403282817005E+00    0.000000000000000000E+00
  11    0.197211420272584287E+00    0.000000000000000000E+00
  12    0.610821600754802477E-05    0.000000000000000000E+00
  13    0.500851954832626012E+00    0.000000000000000000E+00
  14    0.436628202748095831E+02    0.000000000000000000E+00
  15    0.510935083559247829E+02    0.000000000000000000E+00
  16    0.283282742097276108E-01    0.000000000000000000E+00
  17    0.125438605339615622E+00    0.000000000000000000E+00
  18    0.194065818867710863E-01    0.000000000000000000E+00
  19    0.162762768178532831E+02    0.000000000000000000E+00
  20    0.514495912700578995E+01    0.000000000000000000E+00
  21    0.130426541544695795E+03    0.000000000000000000E+00
  22    0.931164277749539480E+02    0.000000000000000000E+00
  23    0.226877583829020262E+08    0.000000000000000000E+00
  24    0.993877114013003826E+00    0.000000000000000000E+00
  25    0.337766133078398922E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.710453055470624983E+00
   2    0.782761425454529274E+02
   3    0.886025589165455735E-01
   4    0.306603660133160892E-01
   5    0.967914189434930572E+00
   6    0.440468170053752828E+00
   7    0.146976435750602491E+03
   8    0.159742543994180308E+01
   9    0.227524332657824857E+01
  10   -0.150425403282817005E+00
  11    0.197211420272584287E+00
  12    0.610821600754802477E-05
  13    0.500851954832626012E+00
  14    0.436628202748095831E+02
  15    0.510935083559247829E+02
  16    0.283282742097276108E-01
  17    0.125438605339615622E+00
  18    0.194065818867710863E-01
  19    0.162762768178532831E+02
  20    0.514495912700578995E+01
  21    0.130426541544695795E+03
  22    0.931164277749539480E+02
  23    0.226877583829020262E+08
  24    0.993877114013003826E+00
  25    0.337766133078398922E+00

MAP Parameters
Dim No.        Parameter
   1    0.710453055470624983E+00
   2    0.782761425454529274E+02
   3    0.886025589165455735E-01
   4    0.306603660133160892E-01
   5    0.967914189434930572E+00
   6    0.440468170053752828E+00
   7    0.146976435750602491E+03
   8    0.159742543994180308E+01
   9    0.227524332657824857E+01
  10   -0.150425403282817005E+00
  11    0.197211420272584287E+00
  12    0.610821600754802477E-05
  13    0.500851954832626012E+00
  14    0.436628202748095831E+02
  15    0.510935083559247829E+02
  16    0.283282742097276108E-01
  17    0.125438605339615622E+00
  18    0.194065818867710863E-01
  19    0.162762768178532831E+02
  20    0.514495912700578995E+01
  21    0.130426541544695795E+03
  22    0.931164277749539480E+02
  23    0.226877583829020262E+08
  24    0.993877114013003826E+00
  25    0.337766133078398922E+00
