Nested Sampling Global Log-Evidence           :   -0.376564712007516390E+07  +/-    0.530048773094525916E+00

Dim No.       Mean        Sigma
   1    0.705889585826195542E+00    0.000000000000000000E+00
   2    0.482235181092457807E+02    0.000000000000000000E+00
   3   -0.430536736613150867E-01    0.000000000000000000E+00
   4   -0.493577893625782652E-01    0.000000000000000000E+00
   5    0.998558830254013152E+00    0.000000000000000000E+00
   6    0.231752849887519818E+00    0.000000000000000000E+00
   7    0.126714915388997682E+03    0.000000000000000000E+00
   8    0.134901025143884068E+01    0.000000000000000000E+00
   9    0.122782871087437884E+01    0.000000000000000000E+00
  10   -0.191591638674862529E-01    0.000000000000000000E+00
  11   -0.177653432772157560E+00    0.000000000000000000E+00
  12    0.162485297753865550E-04    0.000000000000000000E+00
  13    0.503286629163383625E+00    0.000000000000000000E+00
  14    0.300614788343852304E+02    0.000000000000000000E+00
  15    0.508253367637391946E+02    0.000000000000000000E+00
  16    0.473421104074711468E-01    0.000000000000000000E+00
  17   -0.279103611003018448E-01    0.000000000000000000E+00
  18    0.434033097454573306E-02    0.000000000000000000E+00
  19    0.163346796567999810E+02    0.000000000000000000E+00
  20    0.638934511178895015E+01    0.000000000000000000E+00
  21    0.191411121973865448E+03    0.000000000000000000E+00
  22    0.779857021451675365E+02    0.000000000000000000E+00
  23    0.441674382483000010E+08    0.000000000000000000E+00
  24    0.838466409674446855E+00    0.000000000000000000E+00
  25    0.138913757446548969E+01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.705889585826195542E+00
   2    0.482235181092457807E+02
   3   -0.430536736613150867E-01
   4   -0.493577893625782652E-01
   5    0.998558830254013152E+00
   6    0.231752849887519818E+00
   7    0.126714915388997682E+03
   8    0.134901025143884068E+01
   9    0.122782871087437884E+01
  10   -0.191591638674862529E-01
  11   -0.177653432772157560E+00
  12    0.162485297753865550E-04
  13    0.503286629163383625E+00
  14    0.300614788343852304E+02
  15    0.508253367637391946E+02
  16    0.473421104074711468E-01
  17   -0.279103611003018448E-01
  18    0.434033097454573306E-02
  19    0.163346796567999810E+02
  20    0.638934511178895015E+01
  21    0.191411121973865448E+03
  22    0.779857021451675365E+02
  23    0.441674382483000010E+08
  24    0.838466409674446855E+00
  25    0.138913757446548969E+01

MAP Parameters
Dim No.        Parameter
   1    0.705889585826195542E+00
   2    0.482235181092457807E+02
   3   -0.430536736613150867E-01
   4   -0.493577893625782652E-01
   5    0.998558830254013152E+00
   6    0.231752849887519818E+00
   7    0.126714915388997682E+03
   8    0.134901025143884068E+01
   9    0.122782871087437884E+01
  10   -0.191591638674862529E-01
  11   -0.177653432772157560E+00
  12    0.162485297753865550E-04
  13    0.503286629163383625E+00
  14    0.300614788343852304E+02
  15    0.508253367637391946E+02
  16    0.473421104074711468E-01
  17   -0.279103611003018448E-01
  18    0.434033097454573306E-02
  19    0.163346796567999810E+02
  20    0.638934511178895015E+01
  21    0.191411121973865448E+03
  22    0.779857021451675365E+02
  23    0.441674382483000010E+08
  24    0.838466409674446855E+00
  25    0.138913757446548969E+01
