Nested Sampling Global Log-Evidence           :   -0.589892925912992004E+07  +/-    0.475343772294338829E+00

Dim No.       Mean        Sigma
   1    0.747863420863967621E+00    0.000000000000000000E+00
   2    0.813513565044924718E+02    0.000000000000000000E+00
   3   -0.533262651557554548E-01    0.000000000000000000E+00
   4   -0.455203456115057317E-01    0.000000000000000000E+00
   5    0.973102127558384100E+00    0.000000000000000000E+00
   6    0.235067288245963041E+00    0.000000000000000000E+00
   7    0.130573324109069262E+03    0.000000000000000000E+00
   8    0.255635558509029970E+00    0.000000000000000000E+00
   9    0.204955053926020447E+01    0.000000000000000000E+00
  10   -0.629713881130426062E-01    0.000000000000000000E+00
  11   -0.354754678719743866E+00    0.000000000000000000E+00
  12    0.621116505398964206E-05    0.000000000000000000E+00
  13    0.522856378852440518E+00    0.000000000000000000E+00
  14    0.188919710919196895E+02    0.000000000000000000E+00
  15    0.332768099700108877E+02    0.000000000000000000E+00
  16    0.991966844967528960E-01    0.000000000000000000E+00
  17    0.349976171703020034E-01    0.000000000000000000E+00
  18   -0.100339257381649866E-01    0.000000000000000000E+00
  19    0.162926487028361002E+02    0.000000000000000000E+00
  20    0.790847997498710331E+01    0.000000000000000000E+00
  21    0.271812981478168297E+03    0.000000000000000000E+00
  22    0.769850344723821820E+02    0.000000000000000000E+00
  23    0.588782645099680051E+08    0.000000000000000000E+00
  24    0.179638678848471667E+01    0.000000000000000000E+00
  25   -0.347115491342952720E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.747863420863967621E+00
   2    0.813513565044924718E+02
   3   -0.533262651557554548E-01
   4   -0.455203456115057317E-01
   5    0.973102127558384100E+00
   6    0.235067288245963041E+00
   7    0.130573324109069262E+03
   8    0.255635558509029970E+00
   9    0.204955053926020447E+01
  10   -0.629713881130426062E-01
  11   -0.354754678719743866E+00
  12    0.621116505398964206E-05
  13    0.522856378852440518E+00
  14    0.188919710919196895E+02
  15    0.332768099700108877E+02
  16    0.991966844967528960E-01
  17    0.349976171703020034E-01
  18   -0.100339257381649866E-01
  19    0.162926487028361002E+02
  20    0.790847997498710331E+01
  21    0.271812981478168297E+03
  22    0.769850344723821820E+02
  23    0.588782645099680051E+08
  24    0.179638678848471667E+01
  25   -0.347115491342952720E+00

MAP Parameters
Dim No.        Parameter
   1    0.747863420863967621E+00
   2    0.813513565044924718E+02
   3   -0.533262651557554548E-01
   4   -0.455203456115057317E-01
   5    0.973102127558384100E+00
   6    0.235067288245963041E+00
   7    0.130573324109069262E+03
   8    0.255635558509029970E+00
   9    0.204955053926020447E+01
  10   -0.629713881130426062E-01
  11   -0.354754678719743866E+00
  12    0.621116505398964206E-05
  13    0.522856378852440518E+00
  14    0.188919710919196895E+02
  15    0.332768099700108877E+02
  16    0.991966844967528960E-01
  17    0.349976171703020034E-01
  18   -0.100339257381649866E-01
  19    0.162926487028361002E+02
  20    0.790847997498710331E+01
  21    0.271812981478168297E+03
  22    0.769850344723821820E+02
  23    0.588782645099680051E+08
  24    0.179638678848471667E+01
  25   -0.347115491342952720E+00
