Nested Sampling Global Log-Evidence           :   -0.229020230054280418E+02  +/-    0.478560581383674355E+00

Dim No.       Mean        Sigma
   1    0.789985478206323699E+00    0.835527566408917205E-01
   2    0.670763260206374525E+02    0.629229540709162052E+02
   3    0.196047157065411704E+00    0.136287499902353199E+00
   4   -0.347769967628656987E-01    0.648603840484259370E-01
   5    0.103777079457895938E+01    0.581894316063679695E-01
   6    0.564286126804999566E+00    0.372581826444321196E-01
   7    0.140208536588281277E+03    0.144643251424029238E+02
   8    0.283465247506242690E+01    0.283601065006437281E+00
   9    0.161171656898055549E+01    0.127892779296796044E+00
  10    0.935374737833613440E-01    0.186610460564062375E-02
  11    0.141872597532354983E+00    0.189254172644483451E-01
  12    0.295090279768202639E-04    0.716559415813581902E-05
  13    0.113368348063707335E-03    0.456159891839955680E-04
  14    0.420899496089082970E+01    0.366853700057897925E+01
  15    0.867307655771184329E+02    0.164800762967498393E+02
  16    0.526727384536733734E+00    0.800329071339577203E-01
  17    0.168860521439145594E-01    0.214795301261621885E-01
  18    0.236415875070800863E+00    0.291714777987930503E-01
  19    0.163585705587088839E+02    0.137717026208742377E+00
  20    0.104860307152740018E+01    0.903633646393026541E-01
  21    0.180692207006576382E+03    0.225848280664311325E+02
  22    0.783580591785945728E+02    0.108270145805059723E+02
  23    0.312555611692581177E+08    0.918580064922441915E+07
  24    0.165601479642538729E+01    0.187432419809151152E+00
  25   -0.168485954927222714E+01    0.220014116342657745E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.873538234847215156E+00
   2    0.129999280091553658E+03
   3    0.332334656967764930E+00
   4   -0.996373808112916287E-01
   5    0.979581362972590797E+00
   6    0.527027944160567197E+00
   7    0.125744211445878562E+03
   8    0.311825354006886535E+01
   9    0.148382378968376116E+01
  10    0.954035783890017919E-01
  11    0.122947180267906742E+00
  12    0.223434338186844525E-04
  13    0.158984337247702889E-03
  14    0.540457960311850005E+00
  15    0.103210841873868304E+03
  16    0.606760291670691676E+00
  17   -0.459347798224762991E-02
  18    0.265587352869594118E+00
  19    0.162208535325000369E+02
  20    0.958239706888097009E+00
  21    0.158107378940145367E+03
  22    0.891850737591005327E+02
  23    0.220697605200337060E+08
  24    0.146858237661623736E+01
  25   -0.146484543292956770E+01

MAP Parameters
Dim No.        Parameter
   1    0.873538234847215156E+00
   2    0.129999280091553658E+03
   3    0.332334656967764930E+00
   4   -0.996373808112916287E-01
   5    0.979581362972590797E+00
   6    0.527027944160567197E+00
   7    0.125744211445878562E+03
   8    0.311825354006886535E+01
   9    0.148382378968376116E+01
  10    0.954035783890017919E-01
  11    0.122947180267906742E+00
  12    0.223434338186844525E-04
  13    0.158984337247702889E-03
  14    0.540457960311850005E+00
  15    0.103210841873868304E+03
  16    0.606760291670691676E+00
  17   -0.459347798224762991E-02
  18    0.265587352869594118E+00
  19    0.162208535325000369E+02
  20    0.958239706888097009E+00
  21    0.158107378940145367E+03
  22    0.891850737591005327E+02
  23    0.220697605200337060E+08
  24    0.146858237661623736E+01
  25   -0.146484543292956770E+01
