Nested Sampling Global Log-Evidence           :   -0.257088758248680804E+02  +/-    0.507039207802198244E+00

Dim No.       Mean        Sigma
   1    0.797206678656290912E+00    0.793852637054590221E-01
   2    0.519823590510389124E+02    0.125154442659453160E+02
   3   -0.166530824411934494E-01    0.902161203542173051E-01
   4    0.429670338402634092E-02    0.117956676663446267E+00
   5    0.108218148932495417E+01    0.293248187192213655E-01
   6    0.567690964322380420E+00    0.169176625504082023E+00
   7    0.769140996964406156E+02    0.418871568561239371E+02
   8    0.227144375603001913E+01    0.813994877325772026E+00
   9    0.155510672158617269E+01    0.382624889422552406E+00
  10   -0.394153972507708047E-01    0.232706690885305656E+00
  11   -0.116464242400311419E+00    0.672980250595969082E-01
  12    0.146198642085729324E-04    0.943402404608144560E-05
  13    0.187280736339895154E-03    0.912949881754148378E-04
  14    0.306207921998379824E+02    0.136215646228194807E+02
  15    0.304412228920407060E+02    0.837608279714312332E+01
  16    0.163641946338313526E+00    0.128435445272343379E+00
  17    0.185464537623471482E-01    0.362058122318754602E-01
  18   -0.105843145262975993E-02    0.101107916618534147E+00
  19    0.157682037963129744E+02    0.602469865216855527E+00
  20    0.981126695025871354E+00    0.237325348000551162E+00
  21    0.253895445279381875E+03    0.123752675597900847E+03
  22    0.858020996664276225E+02    0.942803342146448742E+01
  23    0.522466560228641331E+08    0.304337547966246828E+08
  24    0.182190582825102543E+01    0.119855641224802120E+00
  25    0.203344412399503738E+00    0.117002206009434909E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.917059457396163680E+00
   2    0.454500022932558352E+02
   3    0.119457694694763097E+00
   4    0.150995695956652215E+00
   5    0.104208154589021684E+01
   6    0.772364813286992691E+00
   7    0.186192793154475318E+02
   8    0.253440233609438703E+01
   9    0.135071058225564045E+01
  10   -0.424653166669928583E+00
  11   -0.225713072876018800E+00
  12    0.207465385823625368E-04
  13    0.842486420679521204E-04
  14    0.241608302386053175E+02
  15    0.314554651788559738E+02
  16    0.368700081953863334E+00
  17    0.802729898237382888E-01
  18    0.139850846134238482E+00
  19    0.160678563786510793E+02
  20    0.106728732812461025E+01
  21    0.394222858473427834E+03
  22    0.977425933986628337E+02
  23    0.769240595188982040E+08
  24    0.162097568720270813E+01
  25    0.141584314727264654E+00

MAP Parameters
Dim No.        Parameter
   1    0.917059457396163680E+00
   2    0.454500022932558352E+02
   3    0.119457694694763097E+00
   4    0.150995695956652215E+00
   5    0.104208154589021684E+01
   6    0.772364813286992691E+00
   7    0.186192793154475318E+02
   8    0.253440233609438703E+01
   9    0.135071058225564045E+01
  10   -0.424653166669928583E+00
  11   -0.225713072876018800E+00
  12    0.207465385823625368E-04
  13    0.842486420679521204E-04
  14    0.241608302386053175E+02
  15    0.314554651788559738E+02
  16    0.368700081953863334E+00
  17    0.802729898237382888E-01
  18    0.139850846134238482E+00
  19    0.160678563786510793E+02
  20    0.106728732812461025E+01
  21    0.394222858473427834E+03
  22    0.977425933986628337E+02
  23    0.769240595188982040E+08
  24    0.162097568720270813E+01
  25    0.141584314727264654E+00
