Nested Sampling Global Log-Evidence           :   -0.428940861013262984E+05  +/-    0.998102314672545843E+00

Dim No.       Mean        Sigma
   1    0.750302704938474285E+00    0.181480076474400248E-03
   2    0.450007136037904303E+02    0.113586185504776036E-01
   3   -0.137559949604991742E-03    0.574886742366408524E-04
   4    0.504962860564253316E-04    0.755255333137416584E-04
   5    0.999911932243502055E+00    0.661900212426324512E-04
   6    0.199985391040274907E+01    0.431286327908636839E-03
   7    0.500001878988912463E+00    0.269054829158543978E-03
   8    0.299788982726778599E+02    0.208698872774131967E-01
   9    0.500033283574587557E+02    0.101387715353449936E-01
  10    0.500972861349441786E-01    0.477726015528213453E-04
  11   -0.184798219860671981E-04    0.386259109711610581E-04
  12    0.455960834371400251E-04    0.571344552837876182E-04
  13    0.160000947171569408E+02    0.331029150699533843E-03
  14    0.500024189998029467E+01    0.436932093798984410E-02
  15    0.200258549845234427E+03    0.141942322202207621E+00
  16    0.499349386713507357E+02    0.333202341801777310E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.750375892379184561E+00
   2    0.450063326479223775E+02
   3   -0.130289883954167092E-03
   4    0.474417639564567384E-04
   5    0.999888665602815641E+00
   6    0.199992799582434766E+01
   7    0.500161644375230363E+00
   8    0.299768214697919717E+02
   9    0.500100134901662727E+02
  10    0.501367563475260472E-01
  11   -0.621903402359089733E-05
  12    0.874234756622981030E-05
  13    0.159999680014466659E+02
  14    0.500249861831865683E+01
  15    0.200278928564531981E+03
  16    0.498999414589888062E+02

MAP Parameters
Dim No.        Parameter
   1    0.750375892379184561E+00
   2    0.450063326479223775E+02
   3   -0.130289883954167092E-03
   4    0.474417639564567384E-04
   5    0.999888665602815641E+00
   6    0.199992799582434766E+01
   7    0.500161644375230363E+00
   8    0.299768214697919717E+02
   9    0.500100134901662727E+02
  10    0.501367563475260472E-01
  11   -0.621903402359089733E-05
  12    0.874234756622981030E-05
  13    0.159999680014466659E+02
  14    0.500249861831865683E+01
  15    0.200278928564531981E+03
  16    0.498999414589888062E+02
