Nested Sampling Global Log-Evidence           :   -0.431916021654643846E+05  +/-    0.101448894291196834E+01

Dim No.       Mean        Sigma
   1    0.749134050762106707E+00    0.181724096839776022E-03
   2    0.450339475539758212E+02    0.132860752161697848E-01
   3   -0.130795492661802846E-02    0.642610680229552836E-04
   4   -0.747397841202082072E-03    0.671556944180228975E-04
   5    0.100181077756821768E+01    0.743197786027427899E-04
   6    0.199843269676320334E+01    0.438052360637262376E-03
   7    0.498092777441610401E+00    0.250271039776571024E-03
   8    0.298846239975940406E+02    0.197991065579721376E-01
   9    0.499967888472088688E+02    0.100580266743041536E-01
  10    0.498405017287422147E-01    0.468338450489451705E-04
  11    0.182243342306997331E-05    0.382107576586567018E-04
  12    0.276331117364264853E-04    0.555789754283760669E-04
  13    0.159957177601321021E+02    0.349615788236543371E-03
  14    0.496948920395832339E+01    0.433473595927063790E-02
  15    0.200890911136701504E+03    0.144775941062294161E+00
  16    0.498324687501276742E+02    0.319918725425873615E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.749134198290200670E+00
   2    0.450462123506563827E+02
   3   -0.139223823217697693E-02
   4   -0.781873128454308808E-03
   5    0.100182601904485713E+01
   6    0.199861250440196181E+01
   7    0.498031997297507190E+00
   8    0.298746666040834903E+02
   9    0.499946017167110099E+02
  10    0.498519847691718115E-01
  11   -0.200736133904281405E-04
  12    0.914359960795004376E-06
  13    0.159958508271887254E+02
  14    0.496932912298420248E+01
  15    0.200983134443664852E+03
  16    0.498158850263136799E+02

MAP Parameters
Dim No.        Parameter
   1    0.749134198290200670E+00
   2    0.450462123506563827E+02
   3   -0.139223823217697693E-02
   4   -0.781873128454308808E-03
   5    0.100182601904485713E+01
   6    0.199861250440196181E+01
   7    0.498031997297507190E+00
   8    0.298746666040834903E+02
   9    0.499946017167110099E+02
  10    0.498519847691718115E-01
  11   -0.200736133904281405E-04
  12    0.914359960795004376E-06
  13    0.159958508271887254E+02
  14    0.496932912298420248E+01
  15    0.200983134443664852E+03
  16    0.498158850263136799E+02
