Nested Sampling Global Log-Evidence           :   -0.428975437144057796E+05  +/-    0.103271436964658525E+01

Dim No.       Mean        Sigma
   1    0.750270161667162871E+00    0.807734462315529909E-04
   2    0.449989709485007126E+02    0.107471653347233354E-01
   3   -0.153665912737146728E-03    0.491234901744972211E-04
   4    0.452142140586412868E-04    0.481777534874643063E-04
   5    0.999937807981200799E+00    0.255304143478422659E-04
   6    0.750044123183179257E+00    0.813503525615722639E-03
   7    0.448857848957946644E+02    0.115276772954227794E+00
   8    0.499727479504593453E+00    0.899440988441646506E-03
   9    0.100090470707596557E+01    0.144777741514025911E-02
  10   -0.235656224681559241E-03    0.149028522877943305E-03
  11   -0.331474305771925864E-04    0.156065433575146208E-03
  12    0.499410169412375314E-04    0.980237761545999369E-07
  13    0.500134632566650805E+00    0.145102130839265509E-03
  14    0.299874281567925145E+02    0.169276834675588135E-01
  15    0.500026299373662795E+02    0.878964085815967834E-02
  16    0.501043074380904258E-01    0.344425711650715580E-04
  17   -0.228149808140435343E-04    0.311566899937236878E-04
  18    0.595786888363673657E-04    0.389437634435674344E-04
  19    0.160002767313376708E+02    0.278728348347982735E-03
  20    0.500230473812119758E+01    0.223521477344525371E-02
  21    0.200233892722063473E+03    0.115994918544335995E+00
  22    0.499344345608581008E+02    0.255933223920757000E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.750173662351945714E+00
   2    0.449985000280152150E+02
   3   -0.166596671017110693E-03
   4    0.574085753057709957E-04
   5    0.999933064972452046E+00
   6    0.749949603363618378E+00
   7    0.448424716847539671E+02
   8    0.499465647976147287E+00
   9    0.100041680921116694E+01
  10   -0.331191364848376060E-03
  11   -0.113540919410464591E-03
  12    0.499824697121299804E-04
  13    0.500140557600073588E+00
  14    0.299861418300188056E+02
  15    0.500005053136235489E+02
  16    0.501178221993531375E-01
  17   -0.255252153348572727E-04
  18    0.947345153994067651E-04
  19    0.160003854884546399E+02
  20    0.500282958903845465E+01
  21    0.200252531740600688E+03
  22    0.499310856858324073E+02

MAP Parameters
Dim No.        Parameter
   1    0.750173662351945714E+00
   2    0.449985000280152150E+02
   3   -0.166596671017110693E-03
   4    0.574085753057709957E-04
   5    0.999933064972452046E+00
   6    0.749949603363618378E+00
   7    0.448424716847539671E+02
   8    0.499465647976147287E+00
   9    0.100041680921116694E+01
  10   -0.331191364848376060E-03
  11   -0.113540919410464591E-03
  12    0.499824697121299804E-04
  13    0.500140557600073588E+00
  14    0.299861418300188056E+02
  15    0.500005053136235489E+02
  16    0.501178221993531375E-01
  17   -0.255252153348572727E-04
  18    0.947345153994067651E-04
  19    0.160003854884546399E+02
  20    0.500282958903845465E+01
  21    0.200252531740600688E+03
  22    0.499310856858324073E+02
