Nested Sampling Global Log-Evidence           :   -0.432137846510108429E+05  +/-    0.105180699245978548E+01

Dim No.       Mean        Sigma
   1    0.748505598184123211E+00    0.974422274221404118E-04
   2    0.450242579470587572E+02    0.115221662144178848E-01
   3   -0.130098586854014643E-02    0.569012158755451242E-04
   4   -0.658889522402427590E-03    0.573756828334833112E-04
   5    0.100209326881647920E+01    0.309195145041735116E-04
   6    0.748615127723781915E+00    0.917139476196106177E-03
   7    0.449447697580565020E+02    0.131683595180455165E+00
   8    0.496057722901620923E+00    0.904251187930151055E-03
   9    0.993563874254831836E+00    0.144997229622180306E-02
  10    0.178843557141668383E-02    0.146322940423020408E-03
  11    0.135469089951582942E-02    0.158268371159232238E-03
  12    0.503859124089761106E-04    0.974708919193053864E-07
  13    0.498459381039331295E+00    0.157949114010326545E-03
  14    0.298541632348787189E+02    0.175207083104733305E-01
  15    0.499925012200494265E+02    0.870172828086808459E-02
  16    0.498921867617296913E-01    0.365807401629657404E-04
  17   -0.118409902778606141E-03    0.320822195002493115E-04
  18    0.795079758088507112E-04    0.436841170292748518E-04
  19    0.159953861905272436E+02    0.284177544400259288E-03
  20    0.497871253635742317E+01    0.238969469650554154E-02
  21    0.201104785186507172E+03    0.119212172419975393E+00
  22    0.498334937809891301E+02    0.264033912397897384E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.748531757157192112E+00
   2    0.450328142270925369E+02
   3   -0.130634909136755984E-02
   4   -0.676080746171044676E-03
   5    0.100206564018108568E+01
   6    0.747705232812090781E+00
   7    0.449791259902486686E+02
   8    0.495348131942279502E+00
   9    0.991761284019999856E+00
  10    0.185866808535052174E-02
  11    0.139863745748844046E-02
  12    0.505085177582539460E-04
  13    0.498409776616051459E+00
  14    0.298406117161876168E+02
  15    0.499908292605031335E+02
  16    0.499331399641662968E-01
  17   -0.904269064432470181E-04
  18    0.631102938842005687E-04
  19    0.159951605176384248E+02
  20    0.497841578928823125E+01
  21    0.201225260686481562E+03
  22    0.498067623139466207E+02

MAP Parameters
Dim No.        Parameter
   1    0.748531757157192112E+00
   2    0.450328142270925369E+02
   3   -0.130634909136755984E-02
   4   -0.676080746171044676E-03
   5    0.100206564018108568E+01
   6    0.747705232812090781E+00
   7    0.449791259902486686E+02
   8    0.495348131942279502E+00
   9    0.991761284019999856E+00
  10    0.185866808535052174E-02
  11    0.139863745748844046E-02
  12    0.505085177582539460E-04
  13    0.498409776616051459E+00
  14    0.298406117161876168E+02
  15    0.499908292605031335E+02
  16    0.499331399641662968E-01
  17   -0.904269064432470181E-04
  18    0.631102938842005687E-04
  19    0.159951605176384248E+02
  20    0.497841578928823125E+01
  21    0.201225260686481562E+03
  22    0.498067623139466207E+02
