Nested Sampling Global Log-Evidence           :   -0.431965886684084835E+05  +/-    0.101395746578611634E+01

Dim No.       Mean        Sigma
   1    0.748608987893827904E+00    0.111932755089503414E-03
   2    0.450282478062556777E+02    0.136960886337749790E-01
   3   -0.130583251506766868E-02    0.674079054014076830E-04
   4   -0.701589442869640558E-03    0.753825794267139974E-04
   5    0.100204592599788600E+01    0.389606924351810111E-04
   6    0.498743059799245436E+00    0.193966804810375847E-03
   7    0.298837233961690352E+02    0.213607606851379077E-01
   8    0.499930979781130702E+02    0.112148413386716217E-01
   9    0.499164789440200291E-01    0.436415090493738454E-04
  10   -0.310831293849557188E-04    0.409371533357550475E-04
  11    0.111456233658392234E-03    0.549819807425873830E-04
  12    0.159959388519464341E+02    0.355412256004388578E-03
  13    0.498147750133684042E+01    0.300956235264578835E-02
  14    0.200960548844857556E+03    0.150761526798327661E+00
  15    0.498274512660240063E+02    0.338167971057471220E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.748541735878729408E+00
   2    0.450293761457695325E+02
   3   -0.129997939645560005E-02
   4   -0.707012597964375958E-03
   5    0.100204204619132065E+01
   6    0.498881655752089925E+00
   7    0.298827890861564924E+02
   8    0.499860993259244637E+02
   9    0.498982553952355343E-01
  10   -0.294139087969378246E-04
  11    0.103973033472946544E-03
  12    0.159963581515611750E+02
  13    0.498463051997565110E+01
  14    0.200874400080386948E+03
  15    0.498399898047915642E+02

MAP Parameters
Dim No.        Parameter
   1    0.748541735878729408E+00
   2    0.450293761457695325E+02
   3   -0.129997939645560005E-02
   4   -0.707012597964375958E-03
   5    0.100204204619132065E+01
   6    0.498881655752089925E+00
   7    0.298827890861564924E+02
   8    0.499860993259244637E+02
   9    0.498982553952355343E-01
  10   -0.294139087969378246E-04
  11    0.103973033472946544E-03
  12    0.159963581515611750E+02
  13    0.498463051997565110E+01
  14    0.200874400080386948E+03
  15    0.498399898047915642E+02
