Nested Sampling Global Log-Evidence           :   -0.174020230054280738E+02  +/-    0.417157320509038587E+00

Dim No.       Mean        Sigma
   1   -0.243168958451277228E+00    0.112809260446692747E+00
   2    0.572100088802882323E+00    0.489634368623974470E+00
   3    0.679774352777276158E+00    0.526233642480215674E-01
   4    0.590394618932536162E+02    0.401688521315969851E+02
   5    0.114654468374561658E+01    0.439178201512750166E-01
   6    0.247656645321263547E+01    0.226946180704075892E-01
   7    0.594833754641234780E+00    0.136661743127198861E-01
   8    0.684915354004147474E+02    0.241579678522643277E+02
   9    0.232205238233189881E+01    0.119317466076796164E+01
  10    0.384025753330669462E+01    0.160718738864265354E+00
  11   -0.191826084148820575E+00    0.169917349881900825E+00
  12    0.212498827024703817E-01    0.783664684045764365E-01
  13    0.100296178250346100E-04    0.349973941251628432E-05
  14    0.608523457561515550E-02    0.100745782407107420E-01
  15   -0.103776226104452973E+00    0.491707010879757905E-01
  16    0.126077482982350688E-02    0.985771362595645219E-03
  17    0.327191915583414783E+01    0.263876748129992311E+01
  18    0.100327468239094699E+02    0.562381007130962818E+01
  19    0.422417970259670039E+00    0.394275405239192522E+00
  20    0.199672926533058245E+03    0.200128835757113812E+02
  21    0.822183900351517849E+02    0.123593816098557436E+02
  22    0.167143075545856234E+02    0.549990593085779800E+00
  23    0.302171283357434683E+01    0.117341977498221905E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.130359698004584551E+00
   2    0.106173445742685679E+01
   3    0.627150988529254549E+00
   4    0.188706097616566311E+02
   5    0.119046250389689057E+01
   6    0.245387183514222817E+01
   7    0.581167580328519562E+00
   8    0.443335675481504055E+02
   9    0.351522704309986000E+01
  10    0.400097627217095742E+01
  11   -0.361743434030721400E+00
  12    0.996163511070468216E-01
  13    0.652987841251832401E-05
  14   -0.398934366509558734E-02
  15   -0.546055250164772105E-01
  16    0.224654619241915210E-02
  17    0.633151674534224940E+00
  18    0.440893675259984086E+01
  19    0.816693375498862562E+00
  20    0.219685810108769715E+03
  21    0.698590084252960963E+02
  22    0.172642981476713722E+02
  23    0.419513260855656611E+01

MAP Parameters
Dim No.        Parameter
   1   -0.130359698004584551E+00
   2    0.106173445742685679E+01
   3    0.627150988529254549E+00
   4    0.188706097616566311E+02
   5    0.119046250389689057E+01
   6    0.245387183514222817E+01
   7    0.581167580328519562E+00
   8    0.443335675481504055E+02
   9    0.351522704309986000E+01
  10    0.400097627217095742E+01
  11   -0.361743434030721400E+00
  12    0.996163511070468216E-01
  13    0.652987841251832401E-05
  14   -0.398934366509558734E-02
  15   -0.546055250164772105E-01
  16    0.224654619241915210E-02
  17    0.633151674534224940E+00
  18    0.440893675259984086E+01
  19    0.816693375498862562E+00
  20    0.219685810108769715E+03
  21    0.698590084252960963E+02
  22    0.172642981476713722E+02
  23    0.419513260855656611E+01
